CovidenceID,aveAge (years),aveHeight (cm),aveWeight (kg)," Number of subjects, N", Muscle,Type,Gender,combined,CSA, Miscellaneous, Voluntary (V) or Stimulated (S) Force measurement,aveVol (cm3),aveFL (cm),avePCSA (cm2),aveTorque (Nm),aveForce (N),aveST (N/cm2), Muscle Volume measurement method, Fiber /fascicle length measurement method , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, Specific tension calculation method,Muscle volume,Fiber/Fascicle length method,Fiber/Fascicle length,ASCA,PSCA,Torque,Torque correction,Moment Arm measured,Moment Arm correction,Force,Specific Tension,Pennation angle,pending column,pending column.1,pending column.2,Overall note,Total Score,Title_x,Covidence #,Study ID,Title_y,Country,Study design,Notes,Authors,Year,Journal,PMID,Muscle,name,fast/slow,Joint type,antigrav/grav,Joint action,secondary joint action,anatomical location
4135,73.9,170.4,72.8,8,PF,OLD T Control,Male,"M 8, control ,post training",PCSA,,V,,,,111.7,2466.9,,,,,,,,,,,,,,,,,,,,,,,,0,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,PF,Plantar Flexors,Slow,mixed,antigravity,ankle plantar flexor,knee flexor,Lower leg
4135,73.9,170.4,72.8,8,GL,OLD T Control,Male,"M 8, control ,post training",PCSA,,V,133.6,5,28.5,,263.3,9.5,,,,,,,CSA accumulation times slice interval,Ultrasound,Fascicle length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (MVC + e-stim trials),Activation & Coactivation,Measured from MRI,,Tendon Force using relative PCSA,Force/rPCSA,Measured,,,,,2,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg
4128,30,,,7,BIC,YNG ,Male,M 7,PCSA,,V,,,,4056.6,,53.407,"MRI 
maging-based methods were used for a 
double aim: the measurement through segmentation of 
volumes and muscle length for Biceps Brachii (Bic), 
Brachialis (Bra) and Brachioradialis (Brd) muscles and to 
extract moment arm (MA),","Muscle length measurement and lit lf:lm value


MRI acquisition on a Philips system was used to acquire limb images. 
 In literature fiber length/muscle length 
ratios can be found [6] and allow us to define a value of fiber 
lengths sized on the individual muscle dimensions.",Vm/lf,"The 
participants were then asked to perform a maximal voluntary 
isometric contraction (MVC) of 5 seconds with the dominant 
arm at 90° flexion position in order to assess the maximal 
external force generated.","TQ/MA: maging-based  methods were used for a 
double aim: the measurement through segmentation of 
volumes and muscle length for Biceps Brachii (Bic), 
Brachialis (Bra) and Brachioradialis (Brd) muscles and to 
extract moment arm (MA), 



external isometric force recorded.
torque calculated using forearm length, % contribution to moment calculated for each muscle based on (PCSAxMA), 
muscle tendon force,F= moment/MA",F/(PSCA*COS theta),CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),,MRI at rest,Joint angle correction,Tendon Force using relative (PCSA x MA),Force/rPCSA,Literature value,,,,each muscle moment contribution was based on relative (PCSA x MA),7,#4128 Marchetta 2012-Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,conference paper,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB,,BIC,Biceps Brachii,50/50,mixed,non-antigravity,elbow flexor,,Upper arm
4128,30,,,7,BRA,YNG ,Male,M 7,PCSA,,V,,,,1598.6,,56.51,,,,,,,CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),,MRI at rest,Joint angle correction,Tendon Force using relative (PCSA x MA),Force/rPCSA,Literature value,,,,,7,#4128 Marchetta 2012-Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,conference paper,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB,,BRA,Brachialis,Fast,monoarticular,non-antigravity,elbow flexor,,Upper arm
4128,30,,,7,BRD,YNG ,Male,M 7,PCSA,,V,,,,2106,,53.452,,,,,,,CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),,MRI at rest,Joint angle correction,Tendon Force using relative (PCSA x MA),Force/rPCSA,Literature value,,,,,7,#4128 Marchetta 2012-Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,conference paper,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB,,BRD,Brachioradialis,60/40,monoarticular,non-antigravity,elbow flexor,,Upper arm
4128,30,,,9,BIC,YNG ,Female,F 9,PCSA,,V,,,,2118.3,,50.476,,,,,,,CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),,MRI at rest,Joint angle correction,Tendon Force using relative (PCSA x MA),Force/rPCSA,Literature value,,,,,7,#4128 Marchetta 2012-Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,conference paper,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB,,BIC,Biceps Brachii,50/50,mixed,non-antigravity,elbow flexor,,Upper arm
4128,30,,,9,BRA,YNG ,Female,F 9,PCSA,,V,,,,783.6,,53.409,,,,,,,CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),,MRI at rest,Joint angle correction,Tendon Force using relative (PCSA x MA),Force/rPCSA,Literature value,,,,,7,#4128 Marchetta 2012-Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,conference paper,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB,,BRA,Brachialis,Fast,monoarticular,non-antigravity,elbow flexor,,Upper arm
4128,30,,,9,BRD,YNG ,Female,F 9,PCSA,,V,,,,939.5,,50.519,,,,,,,CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),,MRI at rest,Joint angle correction,Tendon Force using relative (PCSA x MA),Force/rPCSA,Literature value,,,,,7,#4128 Marchetta 2012-Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,conference paper,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB,,BRD,Brachioradialis,60/40,monoarticular,non-antigravity,elbow flexor,,Upper arm
4127,24.3,172.8,67.5,30,EF,YNG,Male,young men 30,ACSA,,V,257,,18.2,61.1,265,14.7," In young adults, the CSA
was added on alternate slices. Then, the sum was multiplied
by 1 cm. ",CT scan with 0.5cm interval,"A series of cross-sectional images of the right arm was
obtained using an MRI (Signa 1.5T, GE Medical Systems,
USA) with a 3 inch and a 5 inch round surface coils. Trans-
verse scans were performed with a conventional T1-weighted
Spin-echo sequence (a repetition time: 950 ms, an echo time:
9 ms, a slice thickness: 0.5 cm, an interspaced distance: 0 cm in
young adults; a repetition time: 600 ms, an echo time: 10 ms, a
slice thickness: 1 cm, an interspaced distance: 0 cm in elderly
individuals).",Torque meter at wrist,"TQ/MA
MA=length of forearm (the distance from the head of radius to the processus
styloideus)",F/ACSA,CSA accumulation times slice interval,,,Maximal value from MRI scan,,Highest value from torque meter (multiple MVC trials),None,Limb length,None,External Force (Limb Force),Force/ACSA,,,,,"The TQ was converted to F by dividing it by the forearm
length (the distance from the head of radius to the processus
styloideus) of each subject",4,#4127 Akagi 2009-Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing,19596739,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm
4127,23.4,161.3,53.6,22,EF,YNG,Female,young women 22,ACSA,,V,139,,10.3,31.9,150,14.7," In young adults, the CSA
was added on alternate slices. Then, the sum was multiplied
by 1 cm. ",CT scan with 0.5cm interval,same as above,Torque meter at wrist,"TQ/MA
MA=length of forearm (the distance from the head of radius to the processus
styloideus)",F/ACSA,CSA accumulation times slice interval,,,Maximal value from MRI scan,,Highest value from torque meter (multiple MVC trials),None,Limb length,None,External Force (Limb Force),Force/ACSA,,,,,,4,#4127 Akagi 2009-Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing,19596739,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm
4127,68.5,165.9,65.2,19,EF,OLD,Male,old men 19,ACSA,,V,207,,16.2,48.9,216,13.4,"In elderly individuals, the MV was calculated by
multiplying the sum of the CSA of elbow flexors along their
length by the interval of 1 cm.",CT scan with 0.5cm interval,same as above,Torque meter at wrist,"TQ/MA
MA=length of forearm (the distance from the head of radius to the processus
styloideus)",F/ACSA,CSA accumulation times slice interval,,,Maximal value from MRI scan,,Highest value from torque meter (multiple MVC trials),None,Limb length,None,External Force (Limb Force),Force/ACSA,,,,,,4,#4127 Akagi 2009-Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing,19596739,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm
4127,67.5,152.8,51.6,32,EF,OLD,Female,old women 32,ACSA,,V,114,,9.7,26.2,127,13.1,"In elderly individuals, the MV was calculated by
multiplying the sum of the CSA of elbow flexors along their
length by the interval of 1 cm.",CT scan with 0.5cm interval,same as above,Torque meter at wrist,"TQ/MA
MA=length of forearm (the distance from the head of radius to the processus
styloideus)",F/ACSA,CSA accumulation times slice interval,,,Maximal value from MRI scan,,Highest value from torque meter (multiple MVC trials),None,Limb length,None,External Force (Limb Force),Force/ACSA,,,,,,4,#4127 Akagi 2009-Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing,19596739,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm
2995,22.6,177,76,20,EF,YNG,Male,"M 20, Young",ACSA,Did not claim specific tension. not all EE or EF muscles included in volume/length measurement,Both,375,,28.2,,331,11.8,"MRI, sum of ACSA


The biceps brachii, brachialis, and bra-
chioradialis muscles were traced in each image and together
made up the EFs. The brachioradialis volume was then estimated to be 39% of the combined volume of these three muscles
Muscle volume was calculated as the summation of cross-
sectional area times slice thickness (7 mm) for all slices along the length of the muscle. ","lf:lm ratio.
The ratios used were 0.60, 0.49, 0.68, and 0.33 for the biceps brachii, brachialis, brachioradialis, and triceps brachii, respectively 

MRI: The length of the brachioradialis could be determined because the origin and insertion regions were clearly evident in all images. Muscle fiber length was estimated by multiplying muscle length (from MRI) by the fiber length-to-muscle
length ratio determined in cadavers (38). The ratios used were 0.60, 0.49, 0.68, and 0.33 for the biceps brachii, brachialis, brachioradialis, and triceps brachii, respectively","vol*cos(alpha)/fl

MRI: The PCSA was calculated by dividing muscle volume by the estimated fiber (fascicle)
length. The PCSA of the triceps brachii was multiplied by the cosine
of the fiber pennation angle, assumed to be 15° for both groups, whereas the EFs were assumed to have no pennation","The subjects were supine on a padded
table and the left arm (nondominant in all cases) was placed
in a custom-designed force dynamometer. The elbow joint was flexed 100° (180° 5 full extension), and the forearm was fully supinated to record optimum MVCs of the EFs and EEs. The MVCs were determined during each of three visits to the laboratory over 2-4 wk. Three to four MVCs, each held for 4 s with a 3-min rest, were recorded for each of the EFs and EEs during all visits. The highest MVC of
the three visits was used to calculate muscle activation.  
","The subjects were supine on a padded
table and the left arm (nondominant in all cases) was placed
in a custom-designed force dynamometer. The elbow joint was flexed 100° (180° 5 full extension), and the forearm was fully supinated to record optimum MVCs of the EFs and EEs. The MVCs were determined during each of three visits to the laboratory over 2-4 wk. Three to four MVCs, each held for 4 s with a 3-min rest, were recorded for each of the EFs and EEs during all visits. The highest MVC of
the three visits was used to calculate muscle activation.  
","measured force at distal forearm/PCSA 

called normalized force. MVC force/PCSA",CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol/Fiber length,Highest value from torque meter (MVC + e-stim trials),Activation & Coactivation,,,External Force (Limb Force),Force/PCSA,,,,,"The biceps brachii, brachialis, and brachioradialis muscles were traced in each image and together
made up the EFs. The triceps brachii and anconeus were traced and together made up the EEs. The pronator teres and
the extensor carpi radialis longus muscles, which together generate 15% of EF torque (38), were not included in the EF
volume because they were not clearly visible in the images over their entire length. The brachioradialis, extensor carpi
radialis longus, and brevis muscles were traced as a group. The brachioradialis volume was then estimated to be 39% of
the combined volume of these three muscles (4). The length of the brachioradialis, however, could be determined because
the origin and insertion regions were clearly evident in all images. The coracobrachialis muscle was traced as part of the
biceps brachii because these two muscles could not be separated convincingly throughout their entire length. In both
young and old cadavers, the coracobrachialis is 23% of the weight of the biceps brachii plus the coracobrachialis (47). To
exclude the coracobrachialis from the EF volume, the biceps brachii volume was reduced by 23% in all subjects. No data
are available for the fiber length-to-muscle length ratio in the anconeus, so it was assumed to be the same as the biceps
brachii because the fibers run parallel in both muscles ",1,"#2995 Klein 2001-Normalized force, activation, and coactivation in the arm muscles of young and old men.",2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,tension calculation method not accurate since force at distal arm was used as muscle force.,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985),11509534,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm
2995,22.6,177,76,20,EE,YNG,Male,"M 20, Young",PCSA,,Both,444,,53,,292,5.5,,,,,,,CSA accumulation times slice interval,MRI scan,muscle length x k (lit ratio),,Muscle vol*cos θ/Fiber length,Highest value from torque meter (MVC + e-stim trials),Activation & Coactivation,,,External Force (Limb Force),Force/rPCSA,Literature value,,,,,3,"#2995 Klein 2001-Normalized force, activation, and coactivation in the arm muscles of young and old men.",2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,tension calculation method not accurate since force at distal arm was used as muscle force.,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985),11509534,EE,Elbow Extensors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm
