Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Title2,Authors2,Abstract2,Journal2,Volume2,Issue2,Pages2,Year2,Keywords
Influence of full range of motion vs. equalized partial range of motion training on muscle architecture and mechanical properties.,Valamatos MJ; Tavares F; Santos RM; Veloso AP; Mil-Homens P,"PURPOSE: The purpose of this study was to determine the effect of a 15-week partial range of motion (ROM) resistance training program on the vastus lateralis (VL) architecture and mechanical properties, when the time under tension (TUT) was equalized. METHODS: Nineteen untrained male subjects were randomly assigned to a control (Control; nâ=â8) or training (TG; nâ=â11) group. In the TG, the dominant and nondominant legs were randomly selected to be trained with a full ROM (FULL) or a partial ROM (PART) in an isokinetic dynamometer. Training volume was equalized based on the TUT by manipulating sets and repetitions. The VL muscle architecture was assessed by B-mode ultrasonography at rest and during maximal isometric knee extension contractions (MVCs) at ten knee angles. The VL fascicle force and specific tension were calculated from the MVCs with superimposed stimuli, accounting for the moment arm length, muscle architecture, and antagonist coactivation. RESULTS: The FULL training induced changes in fascicle length (FL) (4.9âÂ±â2.0%, Pâ<â0.001) and specific tension (25.8âÂ±â18.7%, Pâ<â0.001). There was a moderate effect of PART training on the physiological cross-sectional area (PCSA) (7.8âÂ±â4.0%, Pâ<â0.001, d(av)Â =Â 0.6) and torque-angle adaptations (average increase 17.7âÂ±â3.9%, Pâ<â0.05). CONCLUSIONS: These results provide evidence that crucial architectural and mechanical muscle adaptations are dependent on the ROM used in strength training. It seems that muscle FL and specific tension can be increased by pure concentric training if greater ROM is used. Conversely, restricting the ROM to shorter muscle lengths promotes a greater PCSA and angle-specific strength adaptations.",2018,Sep,Eur J Appl Physiol,118,9,1969-1983,,10.1007/s00421-018-3932-x,29982844,#2745,Valamatos 2018,,Whole muscle,,,,,,,,,
Morphology of the brachial biceps muscle and elbow flexion in man.,Nygaard E; Houston M; Suzuki Y; JÃ¸rgensen K; Saltin B,"This study was undertaken to determine whether skeletal muscle fibre characteristics could be demonstrated to be of significance for muscle function in voluntary contraction in man. 4 male and 4 female adult subjects were studied. During elbow flexion force and velocity was measured at the hand with the forearm in a 100 degree position. A motor-driven heavy flywheel guaranteed a constant velocity or movement at the time of measurement. Force was registered by a straingauge dynamometer, and velocity by two sets of photocells. Cross-sectional area of the brachial biceps muscle was determined by computerized tomography scanning. Muscle fibre composition and fibre cross-sectional areas were assessed histochemically on needle biopsy samples obtained superficially from the brachial biceps muscle, the more superficial of the two large elbow flexor muscles. At contraction velocities from 2 to 7 radians per second (rad/s) a close relationship existed between the relative force output and the relative area of fast-twitch fibers (p less than 0.01). Maximal voluntary isometric contraction force averaged 189 N (120 to 309 N), and showed a close relationship with total cross-sectional area of the brachial biceps muscle. The specific tension (maximal isometric tension) of the muscle averaged 33 N/cm2 with no demonstrable difference between subjects of widely different fibre compositions, suggesting that maximal tetanic tension is similar in fast- and slow-twitch fibres in man.",1983,Feb,Acta Physiol Scand,117,2,287-92,,10.1111/j.1748-1716.1983.tb07208.x,6223510,#2820,Nygaard 1983,,Whole muscle; external force measured,,,,,,,,,
Effects of low-load resistance training with vascular occlusion on the mechanical properties of muscle and tendon.,Kubo K; Komuro T; Ishiguro N; Tsunoda N; Sato Y; Ishii N; Kanehisa H; Fukunaga T,"The present study aimed to investigate the effects of low-load resistance training with vascular occlusion on the specific tension and tendon properties by comparing with those of high-load training. Nine participants completed 12 weeks (3 days/week) of a unilateral isotonic training program on knee extensors. One leg was trained using low load (20% of 1 RM) with vascular occlusion (LLO) and other leg using high load (80% of 1 RM) without vascular occlusion (HL). Before and after training, maximal isometric knee extension torque (MVC) and muscle volume were measured. Specific tension of vastus lateralis muscle (VL) was calculated from MVC, muscle volume, and muscle architecture measurements. Stiffness of tendon-aponeurosis complex in VL was measured using ultrasonography during isometric knee extension. Both protocols significantly increased MVC and muscle volume of quadriceps femoris muscle. Specific tension of VL increased significantly 5.5% for HL, but not for LLO. The LLO protocol did not alter the stiffness of tendon-aponeurosis complex in knee extensors, while the HL protocol increased it significantly. The present study demonstrated that the specific tension and tendon properties were found to remain following low-load resistance training with vascular occlusion, whereas they increased significantly after high-load training.",2006,May,J Appl Biomech,22,2,112-9,,10.1123/jab.22.2.112,16871002,#2821,Kubo 2006,,Whole muscle,,,,,,,,,
"What makes long-term resistance-trained individuals so strong? A comparison of skeletal muscle morphology, architecture, and joint mechanics.",Maden-Wilkinson TM; Balshaw TG; Massey GJ; Folland JP,"The greater muscular strength of long-term resistance-trained (LTT) individuals is often attributed to hypertrophy, but the role of other factors, notably maximum voluntary specific tension (ST), muscle architecture, and any differences in joint mechanics (moment arm), have not been documented. The aim of the present study was to examine the musculoskeletal factors that might explain the greater quadriceps strength and size of LTT vs. untrained (UT) individuals. LTT (n = 16, age 21.6âÂ±â2.0 yr) had 4.0âÂ±â0.8 yr of systematic knee extensor heavy-resistance training experience, whereas UT (n = 52; age 25.1âÂ±â2.3 yr) had no lower-body resistance training experience for >18 mo. Knee extension dynamometry, T1-weighted magnetic resonance images of the thigh and knee, and ultrasonography of the quadriceps muscle group at 10 locations were used to determine quadriceps: isometric maximal voluntary torque (MVT), muscle volume (Q(VOL)), patella tendon moment arm (PTMA), pennation angle (QÎ(P)) and fascicle length (QF(L)), physiological cross-sectional area (QPCSA), and ST. LTT had substantially greater MVT (+60% vs. UT, P < 0.001) and Q(VOL) (+56%, P < 0.001) and QPCSA (+41%, P < 0.001) but smaller differences in ST (+9%, P < 0.05) and moment arm (+4%, P < 0.05), and thus muscle size was the primary explanation for the greater strength of LTT. The greater muscle size (volume) of LTT was primarily attributable to the greater QPCSA (+41%; indicating more sarcomeres in parallel) rather than the more modest difference in F(L) (+11%; indicating more sarcomeres in series). There was no evidence in the present study for regional hypertrophy after LTT.NEW & NOTEWORTHY Here we demonstrate that the larger muscle strength (+60%) of a long-term (4+ yr) resistance-trained group compared with untrained controls was due to their similarly larger muscle volume (+56%), primarily due to a larger physiological cross-sectional area and modest differences in fascicle length, as well as modest differences in maximum voluntary specific tension and patella tendon moment arm. In addition, the present study refutes the possibility of regional hypertrophy, despite large differences in muscle volume.",2020,Apr,J Appl Physiol (1985),128,4,1000-1011,,10.1152/japplphysiol.00224.2019,31873069,#2833,Maden-Wilkinson 2020,,Whole muscle,,,,,,,,,
Evaluation of the strength-size relationship in vivo using various muscle size indices.,Bamman MM; Newcomer BR; Larson-Meyer DE; Weinsier RL; Hunter GR,"PURPOSE: It is well accepted that maximum strength is related to muscle size. The primary purpose of this study was to determine whether anthropometric or dual-energy x-ray absorptiometry (DEXA) estimates of muscle size were valid predictors of plantar flexor maximum voluntary contraction (MVC) strength and could be used in lieu of more sophisticated techniques (e.g., magnetic resonance imaging (MRI)). Additionally, we compared the relationship among MVC and three MRI-determined muscle size measures; anatomical (ACSA) and physiological (PCSA) cross-sectional areas; and muscle volume (VOLm). METHODS: We measured plantar flexor MVC at 1.83 rad and various indices of muscle size: 1) body weight, 2) total body lean mass (LM) (DEXA), 3) lower leg LM (DEXA), 4) lower leg circumference, 5) estimated muscle+bone cross-sectional area (CSA) from circumference and calf skin-fold, 6) triceps surae ACSA, 7) triceps surae PCSA, and (8) triceps surae volume (VOLm), in 39 premenopausal women (mean +/- SD: 36 +/- 8 yr, 165 +/- 6 cm, and 65 +/- 9 kg). RESULTS: Zero-order correlations showed significant (P < 0.05) associations between MVC and total body LM (r = 0.365), lower leg LM (r = 0.381), circumference (r = 0.584), estimated muscle+bone CSA (r = 0.447), ACSA (r = 0.733), PCSA (r = 0.715), and VOLm (r = 0.649). By using the Fisher Z-transformation, ACSA and PCSA correlated significantly higher with MVC (P < 0.05) than anthropometric and DEXA indices. Further, only ACSA and PCSA regressed to the origin, indicating the ability to predict MVC was greatest with these two measures. CONCLUSIONS: The MRI-determined muscle size indices, which were specific to the triceps surae, correlated with strength better than whole limb anthropometric and DEXA indices. In this group of women, both ACSA and PCSA appeared superior to VOLm for predicting strength. PCSA was not found to be more precise than ACSA. ACSA appears to provide adequate precision for estimating plantar flexor specific tension in vivo.",2000,Jul,Med Sci Sports Exerc,32,7,1307-13,,10.1097/00005768-200007000-00019,10912898,#2837,Bamman 2000,,Whole muscle; external force measured,,,,,,,,,
In vivo physiological cross-sectional area and specific force are reduced in the gastrocnemius of elderly men.,Morse CI; Thom JM; Reeves ND; Birch KM; Narici MV,"Sarcopenia and muscle weakness are well-known consequences of aging. The aim of the present study was to ascertain whether a decrease in fascicle force (Ff) could be accounted for entirely by muscle atrophy. In vivo physiological cross-sectional area (PCSA) and specific force (Ff/PCSA) of the lateral head of the gastrocnemius (GL) muscle were assessed in a group of elderly men [EM, aged 73.8 yr (SD 3.5), height 173.4 cm (SD 4.4), weight 78.4 kg (SD 8.3); means (SD)] and for comparison in a group of young men [YM, aged 25.3 yr (SD 4.4), height 176.4 cm (SD 7.7), weight 79.1 kg (SD 11.9)]. GL muscle volume (Vol) and Achilles tendon moment arm length were evaluated using magnetic resonance imaging. Pennation angle and fiber fascicle length (Lf) were measured using B-mode ultrasonography during isometric maximum voluntary contraction of the plantar flexors. PCSA was estimated as Vol/Lf. GL Ff was calculated by dividing Achilles tendon force by the cosine of theta, during the interpolation of a supramaximal doublet, and accounting for antagonist activation level (assessed using EMG), Achilles tendon moment arm length, and the relative PCSA of the GL within the plantar flexor group. Voluntary activation of the plantar flexors was lower in the EM than in the YM (86 vs. 98%, respectively, P < 0.05). Compared with the YM, plantar flexor maximal voluntary contraction torque and Ff of the EM were lower by 47 and 40%, respectively (P < 0.01). Both Vol and PCSA were smaller in the EM by 28% (P < 0.01) and 16% (P < 0.05), respectively. Also, pennation angle was 12% smaller in the EM, whereas there was no significant difference in Lf between the YM and EM. After accounting for differences in agonists and antagonists activation, the Ff/PCSA of the EM was 30% lower than that of the YM (P < 0.01). These findings demonstrate that the loss of muscle strength with aging may be explained not only by a reduction in voluntary drive to the muscle, but mostly by a decrease in intrinsic muscle force. This phenomenon may possibly be due to a reduction in single-fiber specific tension.",2005,Sep,J Appl Physiol (1985),99,3,1050-5,,10.1152/japplphysiol.01186.2004,15905324,#2938,Morse 2005,,Whole muscle,,,,,,,,,
"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Klein CS; Rice CL; Marsh GD,"The purpose of this study was to determine whether the loss of muscle strength in the elderly could be explained entirely by a decline in the physiological cross-sectional area (PCSA) of muscle. Isometric force, muscle activation (twitch interpolation), and coactivation (surface electromyograph) were measured during maximal voluntary contractions (MVCs) of the elbow flexors (EFs) and extensors (EEs) in 20 young (23 +/- 3 yr) and 13 older (81 +/- 6 yr) healthy men. PCSA was determined using magnetic resonance imaging, and normalized force (NF) was calculated as the MVC/PCSA ratio. The PCSA was smaller in the old compared with the young men, more so in the EEs (28%) compared with the EFs (19%) (P < 0.001); however, the decline in MVC (approximately 30%) with age was similar in the two muscle groups. Muscle activation was not different between the groups, but coactivation was greater (5%) (P < 0.001) in the old men for both muscles. NF was less (11%) in the EFs (P < 0.01) and tended to be unchanged in the EEs of the old compared with young subjects. The relative maintenance of NF in the EEs compared with the EFs may be related to age-associated changes in the architecture of the triceps brachii muscle. In conclusion, although the decline in PCSA explained the majority of strength loss in the old men, additional factors such as greater coactivation or reduced specific tension also may have contributed to the age-related loss of isometric strength.",2001,Sep,J Appl Physiol (1985),91,3,1341-9,,10.1152/jappl.2001.91.3.1341,11509534,#2995,Klein 2001,,Whole muscle; external force measured,,,,,,,,,
Passive tensile stress and energy of the human hamstring muscles in vivo,"Magnusson, SP; Aagaard, P; Simonsen, EB; BojsenâMÃ¸ller, F",,2000,,Scandinavian journal of medicine & science in sports,10,6,351-359,,,11085563,#4030,Magnusson 2000,,,Passive tensile stress and energy of the human hamstring muscles in vivo.,"MagnussonS PSPTeam Danmark Test Center/Sports Medicine Research Unit, Bispebjerg Hospital, Copenhagen.","The present study measured passive resistance to stretch in the hamstring muscles during a standardized stretch maneuver to estimate tensile forces and energy of the individual hamstring muscles in 7 flexible and 6 inflexible persons defined according to joint range of motion. Using a dynamometer, knee joint moment was measured during slow passive knee extension to a maximal angle (dynamic phase) followed by a 90-s static phase. Cross-sectional areas (CSA) of the separate hamstring muscles were obtained with magnetic resonance (MR) imaging. Mathematical modeling was used to calculate instantaneous muscle length and joint moment arm for each muscle. Subsequently, passive muscle tension (N/cm2) was calculated based on moment arm lengths, knee joint moments, and CSA. Maximal tolerated joint angle was greater in flexible (delta1.30+/-0.06 rad) than inflexible (delta0.84+/-0.06 rad) subjects, P<0.01. The peak tension at maximal angle was greater in flexible (81.8+/-12.5 N/cm2) than inflexible subjects (29.3+/-4.1 N/ cm2), P<0.001. For the separate muscles the overall change in muscle length (delta cm) and moment arm (delta cm) differed between groups, P<0.01. Similarly, muscle stiffness (delta tension/delta muscle length) was greater in flexible than inflexible subjects in the final 3 cm, P<0.01, and in the final 20% of length change, P<0.01. Absorbed energy (mJ/cm2) was greater in flexible than inflexible subjects in the final 40% of length change, P<0.05. These data show that flexible persons can attain a greater angle of stretch with an accompanying greater tensile stress and energy than inflexible persons due to an apparent greater tolerance to the externally applied load, and larger change in moment arm. The obtained stress data appear to be in the toe region of a 'classical' stress-strain curve, and energy rather than stiffness may therefore be more appropriate to analyze during the stretch procedure.",Scandinavian journal of medicine & science in sports,10,6,351359351-9,2000, 
Gastrocnemius muscle specific force in boys and men,"Morse, Christopher I; Tolfrey, Keith; Thom, Jeanette M; Vassilopoulos, Vasilios; Maganaris, Constantinos N; Narici, Marco V",,2008,,Journal of applied physiology,104,2,469-474,,,18096754,#4040,Morse 2008,,Whole muscle,Gastrocnemius muscle specific force in boys and men.,"MorseChristopher ICIInstitute for Biophysical Research into Human Movement and Health, Manchester Metropolitan Univ., Alsager Campus, Hassall Rd., Alsager, Cheshire ST7 2HL, UK.","The aim of this study was to assess whether the in vivo specific force and architectural characteristics of the lateral gastrocnemius (GL) muscle of early pubescent boys (n = 11, age = 10.9 +/- 0.3 yr, Tanner stage 2) differed from those of adult men (n = 12, age = 25.3 +/- 4.4 yr). Plantarflexor torque was 55% lower in the boys (77.4 +/- 21.4 N x m) compared with the adults (175.6 +/- 31.7 N x m, P < 0.01). Physiological cross-sectional area (PCSA), determined in vivo using ultrasonography and MRI, was 52% smaller in the boys (P < 0.01). No difference was found in pennation angle, or in the ratio of fascicle length (L(f)) to muscle length between the boys and men. Moment arm length was 25% smaller in the boys (P < 0.01). Antagonist coactivation, assessed using surface EMG on the dorsiflexors, was not different between the boys and men (11.8 +/- 6.7% and 13.5 +/- 5.8%, respectively). Surprisingly, GL force normalized to PCSA (specific force) was significantly higher (21%) in the boys than in the men (13.1 +/- 2.0 vs. 15.9 +/- 2.7 N/cm(2), P < 0.05). This finding could not be explained by differences in moment arm length, muscle activation, or architecture, and other factors, such as tendinous characteristics and/or changes in moment arm length with contraction, may be held responsible. These observations warrant further investigation.","Journal of applied physiology (Bethesda, Md. : 1985)",104,2,469474469-74,2008, 
Effect of resistance training on skeletal muscle-specific force in elderly humans,"Reeves, Neil D; Narici, Marco V; Maganaris, Constantinos N",,2004,,Journal of applied physiology,96,3,885-892,,,14578365,#4070,Reeves 2004,,Whole muscle,Effect of resistance training on skeletal muscle-specific force in elderly humans.,"ReevesN DNDInstitute for Biophysical and Clinical Research into Human Movement, Manchester Metropolitan University, MMU Cheshire, Alsager, Cheshire, UK. N.Reeves@mmu.ac.uk","This study assessed muscle-specific force in vivo following strength training in old age. Subjects were assigned to training (n = 9, age 74.3 +/- 3.5 yr; mean +/- SD) and control (n = 9, age 67.1 +/- 2 yr) groups. Leg-extension and leg-press exercises (2 sets of 10 repetitions at 80% of the 5 repetition maximum) were performed three times/wk for 14 wk. Vastus lateralis (VL) muscle fascicle force was calculated from maximal isometric voluntary knee extensor torque with superimposed stimuli, accounting for the patella tendon moment arm length, ultrasound-based measurements of muscle architecture, and antagonist cocontraction estimated from electromyographic activity. Physiological cross-sectional area (PCSA) was calculated from the ratio of muscle volume to fascicle length. Specific force was calculated by dividing fascicle force by PCSA. Fascicle force increased by 11%, from 847.9 +/- 365.3 N before to 939.3 +/- 347.8 N after training (P < 0.05). Due to a relatively greater increase in fascicle length (11%) than muscle volume (6%), PCSA remained unchanged (pretraining: 30.4 +/- 8.9 cm(2); posttraining: 29.1 +/- 8.4 cm(2); P > 0.05). Activation capacity and VL muscle root mean square electromyographic activity increased by 5 and 40%, respectively, after training (P < 0.05), indicating increased agonist neural drive, whereas antagonist cocontraction remained unchanged (P > 0.05). The VL muscle-specific force increased by 19%, from 27 +/- 6.3 N/cm(2) before to 32.1 +/- 7.4 N/cm(2) after training (P < 0.01), highlighting the effectiveness of strength training for increasing the intrinsic force-producing capacity of skeletal muscle in old age.","Journal of applied physiology (Bethesda, Md. : 1985)",96,3,885892885-92,2004, 
In vivo human gastrocnemius architecture with changing joint angle at rest and during graded isometric contraction.,"Narici, Marco V; Binzoni, Tiziano; Hiltbrand, Emile; Fasel, Jean; Terrier, FranÃ§ois; Cerretelli, Paolo",,1996,,The Journal of physiology,496,1,287-297,,,8910216,#4106,Narici 1996,,Whole muscle,In vivo human gastrocnemius architecture with changing joint angle at rest and during graded isometric contraction.,"NariciM VMVReparto di Fisiologia Istituto di Tecnologie Biomediche Avanzate, Consiglio Nazionale dell Ricerche, Milano, Italy. narici@cmu.unige.ch","1. Human gastrocnemius medialis architecture was analysed in vivo, by ultrasonography, as a function of joint angle at rest and during voluntary isometric contractions up to the maximum force (MCV). maximum force (MVC). 2. At rest, as ankle joint angle increased from 90 to 150 deg, pennation increased from 15.8 to 27.7 deg, fibre length decreased from 57.0 to 34.0 mm and the physiological cross-sectional area (PCSA) increased from 42.1 to 63.5 cm2. 3. From rest to MVC, at a fixed ankle joint angle of 110 deg, pennation angle increased from 15.5 to 33.6 deg and fibre length decreased from 50.8 to 32.9 mm, with no significant change in the distance between the aponeuroses. As a result of these changes the PCSA increased by 34.8%. 4. Measurements of pennation angle, fibre length and distance between the aponeuroses of the gastrocnemius medialis were also performed by ultrasound on a cadaver leg and found to be in good agreement with direct anatomical measurements. 5. It is concluded that human gastrocnemius medialis architecture is significantly affected both by changes of joint angle at rest and by isometric contraction intensity. The remarkable shortening observed during isometric contraction suggests that, at rest, the gastrocnemius muscle and tendon are considerably slack. The extrapolation of muscle architectural data obtained from cadavers to in vivo conditions should be made only for matching muscle lengths.",The Journal of physiology,496 ( Pt 1),Pt 1,287297287-97,1996, 
Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",,2009,,Age and ageing,38,5,564-569,,,,#4127,Akagi 2009,"Paula Pino (2022-11-30 02:58:04)(Screen): Abstract
Objective: the present study examined which of muscle volume (MV) and cross-sectional area (CSA) is appropriate for evaluating the relation with elbow flexor muscle strength in young and elderly individuals.

Methods: the subjects were 52 young (20â34 year; 30 men and 22 women) and 51 elderly individuals (60â77 year, 19 men and 32 women). The MV and maximal anatomical CSA (ACSA) of elbow flexors were determined by magnetic resonance imaging. The torque developed during maximal voluntary contraction of isometric elbow joint flexion was converted to force by dividing it by the forearm length of each subject.

Results: torque was significantly correlated with MV in young and elderly individuals ( r = 0.564â0.926). Similarly, force was also significantly correlated with ACSA in each of them ( r = 0.637â0.906). However, the y -intercepts of the regression lines for the ACSA-force relationship in young men and women were significantly higher than zero. There was no age effect on torque per MV, whereas force per ACSA was significantly higher in young adults than in elderly individuals.

Conclusion: for elbow flexors, MV compared to ACSA is appropriate for evaluating the sizeâstrength relationship and the existence of age-related difference in muscle strength per size.; ",,,,,,,,,,
Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",,2012,,GNB,,,,,,,#4128,Marchetta 2012,,Whole muscle,,,,,,,,,
Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",,2007,,European journal of applied physiology,100,5,563-570,,,16858613,#4135,Morse 2007,,Whole muscle,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme.,"MorseChristopher ICIInstitute for Biophysical and Clinical Research into Human Movement (IRM), Manchester Metropolitan University, Hassall Road, Alsager Campus, Cheshire, Alsager, ST7 2HL, UK. c.morse@mmu.ac.uk","The aim of the present investigation was to determine whether muscle force per physiological cross sectional area (PCSA) of the lateral gastrocnemius (GL) of elderly males increased following a 12-month physical training programme. Eleven elderly males were assigned to a 12-month training programme (TRN mean age 72.7 +/- 3.3 years, mean +/- SD) and eight elderly males were allocated to a control group (CTRL, 73.9 +/- 4.0 years) who maintained their habitual physical activity levels. In vivo measurements of muscle architecture, muscle volume (VOL), achilles tendon moment arm length and plantarflexor torque were used to estimate GL PCSA (VOL/fascicle length) and specific force (GL fascicle force/GL PCSA). Maximal GL fascicle force was calculated accounting for agonist muscle activation and antagonist co-activation. Following training GL fascicle force increased by 31% (P < 0.01), which was not entirely accounted for by a 17% increase in PCSA (from 27.2 +/- 5.9 to 31.8 +/- 6.2 cm(2), P < 0.05). Specific force increased significantly from 8.9 +/- 1.9 to 11.2 +/- 3.0 N cm(-2) (P < 0.05). Pennation angle, but not fascicle length, increased by 12% with training (P < 0.05). The CTRL group showed no change in muscle size, strength or architecture over the 12-month period. In conclusion, with the level of agonist and antagonist muscle activity accounted for a 12-month strength training programme resulted in an increase in both PCSA and specific force in elderly males.",European journal of applied physiology,100,5,563570563-70,2007, 
"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia","McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",,2018,,The Journals of Gerontology: Series A,73,10,1287-1294,,,29529132,#4162,McPhee 2018,,Fiber; Whole muscle,"The Contributions of Fiber Atrophy, Fiber Loss, In Situ Specific Force, and Voluntary Activation to Weakness in Sarcopenia.","McPheeJamie SJSSchool of Healthcare Science, Manchester Metropolitan University, UK.","The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia remain unclear. To investigate, 40 older (20 women; age 72 ± 4 years) and 31 younger adults (15 women, age 22 ± 3 years) completed measurements. The knee extensor maximal voluntary torque (MVC) was measured as well as voluntary activation, patella tendon moment arm length, muscle volume, and fascicle architecture to estimate in situ specific force. Fiber cross-sectional area (FCSA), fiber numbers, and connective tissue contents were also estimated from vastus lateralis biopsies. The MVC, quadriceps volume, and specific force were 39%, 28%, and 17% lower, respectively, in old compared with young, but voluntary activation was not different. The difference in muscle size was due in almost equal proportions to lower type II FCSA and fewer fibers. Five years later (n = 23) the MVC, muscle volume and voluntary activation in old decreased an additional 12%, 6%, and 4%, respectively, but there was no further change in specific force. In situ specific force declines relatively early in older age and reduced voluntary activation occurs later, but the overall weakness in sarcopenia is mainly related to loss of both type I and II fibers and type II fiber atrophy.","The journals of gerontology. Series A, Biological sciences and medical sciences",73,10,128712941287-1294,2018, 
Measurement of fibre pennation using ultrasound in the human quadriceps in vivo,"Rutherford, OM; Jones, DA",,1992,,European journal of applied physiology and occupational physiology,65,5,433-437,,,1425649,#4184,Rutherford 1992,,Whole muscle,Measurement of fibre pennation using ultrasound in the human quadriceps in vivo.,"RutherfordO MOMDepartment of Medicine, Rayne Institute, University College and Middlesex School of Medicine, London, UK.","Real-time ultrasound scanning was used to measure the angles of fibre pennation of vastus lateralis (VL) and vastus intermedius (VI) of the human quadriceps (n = 12) in vivo. The maximum isometric force and cross-sectional area of the quadriceps were also measured. With the knee at right-angles the mean fibre angles for VL and VI respectively were 0.133 (0.021) rad [7.6 degrees (1.2 degrees)] and 0.143 (0.028) rad [8.2 degrees (1.6 degrees)] [mean (SD)], which is within the range of angles measured on cadavers. The mean angle decreased in going from the contracted [VL, 0.244 rad (14 degrees); VI, 0.279 rad (16 degrees)] to the stretched [VL, 0.105 rad (6 degrees); VI, 0.122 rad (7 degrees)] position. There was a significant positive correlation between fibre angle and muscle cross-sectional area but no relationship between fibre angle and force per cross-sectional area. No increase in fibre angle was detected after 3 months strength training. We conclude that ultrasound can be used to measure pennation angles of superficial muscle groups but we could not demonstrate a relationship between pennation and force-generating capacity.",European journal of applied physiology and occupational physiology,65,5,433437433-7,1992, 
Direct intraoperative measurement of isometric contractile properties in living human muscle,"Binder-Markey, Benjamin I.; Persad, Lomas S.; Shin, Alexander Y.; Litchy, William J.; Kaufman, Kenton R.; Lieber, Richard L.","Abstract Skeletal muscle's isometric contractile properties are one of the classic structure?function relationships in all of biology allowing for extrapolation of single fibre mechanical properties to whole muscle properties based on the muscle's optimal fibre length and physiological cross-sectional area (PCSA). However, this relationship has only been validated in small animals and then extrapolated to human muscles, which are much larger in terms of length and PCSA. The present study aimed to measure directly the in situ properties and function of the human gracilis muscle to validate this relationship. We leveraged a unique surgical technique in which a human gracilis muscle is transferred from the thigh to the arm, restoring elbow flexion after brachial plexus injury. During this surgery, we directly measured subject specific gracilis muscle force?length relationship in situ and properties ex vivo. Each subject's optimal fibre length was calculated from their muscle's length-tension properties. Each subject's PCSA was calculated from their muscle volume and optimal fibre length. From these experimental data, we established a human muscle fibre-specific tension of 171Â kPa. We also determined that average gracilis optimal fibre length is 12.9Â cm. Using this subject-specific fibre length, we observed an excellent fit between experimental and theorical active length-tension curves. However, these fibre lengths were about half of the previously reported optimal fascicle lengths of 23Â cm. Thus, the long gracilis muscle appears to be composed of relatively short fibres acting in parallel that may not have been appreciated based on traditional anatomical methods. Key points Skeletal muscle's isometric contractile properties represent one of the classic structure?function relationships in all of biology and allow scaling single fibre mechanical properties to whole muscle properties based on the muscle's architecture. This physiological relationship has only been validated in small animals but is often extrapolated to human muscles, which are orders of magnitude larger. We leverage a unique surgical technique in which a human gracilis muscle is transplanted from the thigh to the arm to restore elbow flexion after brachial plexus injury, aiming to directly measure muscles properties in situ and test directly the architectural scaling predictions. Using these direct measurements, we establish human muscle fibre-specific tension of ?170Â kPa. Furthermore, we show that the gracilis muscle actually functions as a muscle with relatively short fibres acting in parallel vs. long fibres as previously assumed based on traditional anatomical models.",2023,,The Journal of Physiology,601,10,1817-1830,,https://doi.org/10.1113/JP284092,,#4196,Binder-Markey 2023,,,,,,,,,,,
