Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Excluded Reasons,,,,,,,,
A musculotendon model of the fatigue profiles of paralyzed quadriceps muscle under FES.,Giat Y; Mizrahi J; Levy M,"In a previous work, we studied the mechanical and the metabolic profiles of fatigue of paralyzed quadriceps muscle under activation by FES. The metabolic state of the muscle during stimulation of paraplegic patients was monitored, simultaneously with the decaying force, by using 31P nuclear magnetic resonance spectroscopy. In the present work, a musculotendon model was developed to enable prediction of the force output during continuous electrical stimulation. The model consisted of five elements, including the tendon, the parallel elastic, contractile and damper muscle elements, as well as the muscle mass. The mechanism of the contractile element was based upon the length-tension and the velocity-tension curves, the activation trajectory, and the experimentally obtained relationship between force and intracellular pH. In the equations obtained, three sets of parameters were used: 1) general muscle parameters, associated with the length-tension curves of tendon, fascia, and muscle and the velocity-tension curve of the contractile element; 2) specific anthropometric parameters of the muscle; and 3) fatigue parameters which were obtained from our previously recorded experimental data. The model was formulated to allow prediction of the quadriceps muscle force under dynamic activation and at various levels of stimulation. The model solution was for isometric contraction in supermaximal stimulation, and it provided the force decaying profiles, which were compared to those obtained experimentally. The parameters yielding the best fit between the model and the experimental results were indicated. Particularly, two muscle nonspecific parameters, namely, the muscle stress parameter and the parameter representing the ratio between the muscle's slack length and its length in vivo at various knee angles, were determined using the model. The muscle stress parameter was found to be between 60 and 64 N/cm2, and the length ratio was 0.952, 0.935, 0.920, and 0.901 for the 0, 30, 60, and 90 degrees knee angle, respectively. Finally, a sensitivity analysis was conducted of the model to perturbations of these two estimated parameters, revealing that the model was sensitive to these parameters.",1993,Jul,IEEE Trans Biomed Eng,40,7,664-74,,10.1109/10.237696,8244427,#2787,Giat 1993,Exclusion reason: Wrong study design; ,,Unhealthy muscle,,,,,,,,
Musculoskeletal adaptations to strength training in frail elderly: a matter of quantity or quality?,Aas SN; Breit M; Karsrud S; Aase OJ; Rognlien SH; Cumming KT; Reggiani C; Seynnes O; Rossi AP; Toniolo L; Raastad T,"BACKGROUND: The improvement in muscle strength generally exceeds the increase in muscle size following strength training in frail elderly, highlighting the complex aetiology of strength deficit in aging. The aim of this study was to investigate the effect of heavy-load strength training on a broad number of factors related to specific strength in frail elderly. METHODS: Thirty-four frail elderly men (n = 18) and women (n = 16) aged 67 to 98 (86 ± 7 years) were randomized to either a group performing strength training twice a week for 10 weeks (ST) or a non-exercising control group (CON). Knee extensor muscle strength was tested as one-repetition maximum (1RM) and isometric maximal voluntary contraction (MVC) torque. Muscle activation was assessed by the interpolated twitch technique, and muscle density [mean Hounsfield units (HU)] and intermuscular adipose tissue (IMAT) by computed tomography scans of the quadriceps femoris. Muscle biopsies from the vastus lateralis were obtained to investigate changes in intramyocellular lipids and single-fibre specific tension. RESULTS: In ST, knee extension 1RM and MVC improved by 17 and 7%, respectively. Muscle cross-sectional area of the quadriceps femoris increased by 7%, accompanied by a 4% increase of muscle density. No changes in IMAT, voluntary activation level, single-fibre specific tension, or lipid content were observed. CONCLUSIONS: In contrast to several previous reports, the improvements in isometric muscle strength and muscle area were in good agreement in the present study. The training-induced increase in muscle density was not due to changes in skeletal muscle lipid content. Instead, the increase in muscle density may reflect increased packing of contractile material or simply an increased ratio of muscle tissue relative to IMAT.",2020,Jun,J Cachexia Sarcopenia Muscle,11,3,663-677,,10.1002/jcsm.12543,32091670,#2824,Aas 2020,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
"Single muscle fibre contractile properties differ between body-builders, power athletes and control subjects.",Meijer JP; Jaspers RT; Rittweger J; Seynnes OR; Kamandulis S; Brazaitis M; Skurvydas A; Pišot R; Šimunič B; Narici MV; Degens H,"What is the central question of this study? Do the contractile properties of single muscle fibres differ between body-builders, power athletes and control subjects? What is the main finding and its importance? Peak power normalized for muscle fibre volume in power athletes is higher than in control subjects. Compared with control subjects, maximal isometric tension (normalized for muscle fibre cross-sectional area) is lower in body-builders. Although this difference may be caused in part by an apparent negative effect of hypertrophy, these results indicate that the training history of power athletes may increase muscle fibre quality, whereas body-building may be detrimental. We compared muscle fibre contractile properties of biopsies taken from the vastus lateralis of 12 body-builders (BBs; low- to moderate-intensity high-volume resistance training), six power athletes (PAs; high-intensity, low-volume combined with aerobic training) and 14 control subjects (Cs). Maximal isotonic contractions were performed in single muscle fibres, typed with SDS-PAGE. Fibre cross-sectional area was 67 and 88% (P < 0.01) larger in BBs than in PAs and Cs, respectively, with no significant difference in fibre cross-sectional area between PAs and Cs. Fibres of BBs and PAs developed a higher maximal isometric tension (32 and 50%, respectively, P < 0.01) than those of Cs. The specific tension of BB fibres was 62 and 41% lower than that of PA and C fibres (P < 0.05), respectively. Irrespective of fibre type, the peak power (PP) of PA fibres was 58% higher than that of BB fibres (P < 0.05), whereas BB fibres, despite considerable hypertrophy, had similar PP to the C fibres. This work suggests that high-intensity, low-volume resistance training with aerobic exercise improves PP, while low- to moderate-intensity high-volume resistance training does not affect PP and results in a reduction in specific tension. We postulate that the decrease in specific tension is caused by differences in myofibrillar density and/or post-translational modifications of contractile proteins.",2015,Nov,Exp Physiol,100,11,1331-41,,10.1113/EP085267,26388513,#2847,Meijer 2015,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
Resistance training induced changes in strength and specific force at the fiber and whole muscle level: a meta-analysis.,Dankel SJ; Kang M; Abe T; Loenneke JP,"PURPOSE: Considerable debate exists as to whether increases in strength that occur with resistance exercise are the result of increases in muscle size. Most studies have attempted to answer this question using assessments of whole muscle size and voluntary muscle strength, but examining changes at the individual muscle fiber level may also provide some insight. The purpose of this meta-analysis was to compare adaptations at the whole muscle and individual fiber level. METHODS: A meta-analysis was conducted in February, 2018 including all previously published papers and was analyzed using a random effects model. RESULTS: There were no differences (p = 0.88) when comparing hypertrophy at the whole muscle (4.6%) and individual fiber level (7.0%), but significantly larger (p < 0.001) strength gains were observed at the whole muscle level (43.3%) relative to the individual fiber (19.5%). Additionally, there was an increase in the specific tension of type 1 muscle fibers (p = 0.013), but not type 2 muscle fibers (p = 0.23) which was driven by similar increases in strength (type 1: 17.5%, type 2A: 17.7%), despite differences in muscle size (type 1: 6.7%, type 2A: 12.1%). CONCLUSION: These results support the hypothesis that the neural adaptations play a large role in increasing isotonic whole muscle strength, but also demonstrate that an improvement in specific tension of type 1 muscle fibers is present. These results would suggest that some mechanism intrinsic to the muscle fiber, and independent of muscle growth, may also be contributing to strength increases in response to resistance exercise providing an avenue for future research.",2019,Jan,Eur J Appl Physiol,119,1,265-278,,10.1007/s00421-018-4022-9,30357517,#2853,Dankel 2019,Exclusion reason: meta analysis; ,,Review study,,,,,,,,
Echo intensity is negatively associated with functional capacity in older women.,Rech A; Radaelli R; Goltz FR; da Rosa LH; Schneider CD; Pinto RS,"Muscle quality is an important component of the functional profile of the elderly, and previous studies have shown that both muscle quantity and quality independently contribute to muscle strength of the elderly. This study aimed to verify the association between quadriceps femoris muscle quality, analyzed by specific tension and echo intensity (EI), and rate of torque development (RTD) of the knee extensor muscles with the functional performance in elderly active women. Forty-five healthy, active elderly women (70.28 ± 6.2) volunteered to participate in this study. Quadriceps femoris muscle thickness and EI were determined by ultrasonography. Knee extension isometric peak torque and RTD were obtained from maximal isometric voluntary contraction curves. The 30-s sit-to-stand-up (30SS) test and usual gait speed (UGS) test were applied to evaluate functional performance. Rectus femoris EI presented a significant negative correlation with 30SS (r = -0.505, P < 0.01), UGS (r s = -0.347, P < 0.05), and isometric peak torque (r = -0.314, P < 0.05). The quadriceps femoris EI correlated negatively with 30SS (r = -0.493, P < 0.01) and isometric peak torque (r = -0.409, P < 0.01). The EI of the quadriceps femoris and all quadriceps muscle portions significantly correlated with RTD. RTD significantly correlated with physical performance in both functional tests (30SS = r = 0.340, P < 0.05; UGS = r s = 0.371, P < 0.05). We concluded that muscle EI may be an important predictor of functional performance and knee extensor power capacity in elderly, active women.",2014,,Age (Dordr),36,5,9708,,10.1007/s11357-014-9708-2,25167965,#2865,Rech 2014,Exclusion reason: Torque/PCSA reported instead of specific tension (F/PCSA) value reported; ,,ST value not reported (torque/ QF muscle thickness),,,,,,,,
Effect of age on muscle hypertrophy induced by resistance training.,Welle S; Totterman S; Thornton C,"BACKGROUND: Previous research has shown that resistance training induces muscle hypertrophy in older subjects, but has not clarified whether the degree of hypertrophy is affected by age. The present study was done to test the hypothesis that men and women over 60 years old have a smaller hypertrophic response to resistance training than young adults. METHODS: Cross-sectional areas (CSA) of muscle in the thigh and upper arm were determined before and after 3 months of progressive resistance training by magnetic resonance imaging (MRI) in 9 young (22-31 yr, 5 male and 4 female) and 8 old (62-72 yr, 4 male and 4 female) subjects. Strength was determined by 3-repetition-maximum (3RM) testing. The amount of weight lifted during the training program was proportional to baseline strength. RESULTS: Mean pretraining 3RM strength, per cm2 CSA, was less in the older group for all muscle groups examined (16 +/- 6% for elbow flexors, p < .02; 40 +/- 7% for knee flexors, p < .001; 19 +/- 9% for knee extensors, p < .05). Mean training-induced increases in muscle CSA were less in the older group for elbow flexors (22 +/- 4% in young, 9 +/- 4% in old, p < .05) and knee flexors (8 +/- 2% in young, 1 +/- 2% in old, p < .01), but not for knee extensors (4 +/- 1% in young, 6 +/- 2% in old). Mean training-induced increases in specific tension (ratio of 3RM strength to CSA) were similar in young and old groups for elbow flexors (21 +/- 5% in young, 19 +/- 5% in old) and knee extensors (38 +/- 6% in young, 32 +/- 14% in old), but were greater in the older group for knee flexors (28 +/- 5% in young, 64 +/- 13% in old, p < .02). CONCLUSIONS: Aging can attenuate the hypertrophic response of muscle groups to resistance training, when the training load is proportional to baseline strength. However, aging does not impair training-induced increases in specific tension.",1996,Nov,J Gerontol A Biol Sci Med Sci,51,6,M270-5,,10.1093/gerona/51a.6.m270,8914498,#2878,Welle 1996,Exclusion reason: Wrong outcomes; ,,"ST value not reported (3RM/ CSA for  KF,KE,EF)",,,,,,,,
Effects of combined strength and sprint training on regulation of muscle contraction at the whole-muscle and single-fibre levels in elite master sprinters.,Cristea A; Korhonen MT; Häkkinen K; Mero A; Alén M; Sipilä S; Viitasalo JT; Koljonen MJ; Suominen H; Larsson L,"AIM: This study aims at examining the effects of progressive strength and sprint training on regulation of muscle contraction at the whole-muscle and single-fibre levels in older sprint-trained athletes. METHODS: Eleven men (52-78 years) were randomized to a training (EX, n = 7) or control (CTRL, n = 4) group. EX participated in a 20-week programme that combined sprint training with heavy and explosive strength exercises, while CTRL maintained their usual run-based training schedules. RESULTS: EX improved maximal isometric and dynamic leg strength, explosive jump performance and force production in running. Specific tension and maximum shortening velocity of single fibres from the vastus lateralis were not altered in EX or CTRL. Fibre type and myosin heavy chain isoform distributions remained unchanged in the two groups. There was a general increase in fibre areas in EX, but this was significant only in IIa fibres. The 10% increase in squat jump in EX was accompanied by a 9% increase in the integrated EMG (iEMG) of the leg extensors but the 21-40% increases in isometric and dynamic strength were not paralleled by changes in iEMG. CONCLUSION: Adding strength training stimulus to the training programme improved maximal, explosive and sport-specific force production in elite master sprinters. These improvements were primarily related to hypertrophic muscular adaptations.",2008,Jul,Acta Physiol (Oxf),193,3,275-89,,10.1111/j.1748-1716.2008.01843.x,18284658,#2882,Cristea 2008,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
"Aging, muscle fiber type, and contractile function in sprint-trained athletes.",Korhonen MT; Cristea A; Alén M; Häkkinen K; Sipilä S; Mero A; Viitasalo JT; Larsson L; Suominen H,"Biopsy samples were taken from the vastus lateralis of 18- to 84-yr-old male sprinters (n = 91). Fiber-type distribution, cross-sectional area, and myosin heavy chain (MHC) isoform content were identified using ATPase histochemistry and SDS-PAGE. Specific tension and maximum shortening velocity (V(o)) were determined in 144 single skinned fibers from younger (18-33 yr, n = 8) and older (53-77 yr, n = 9) runners. Force-time characteristics of the knee extensors were determined by using isometric contraction. The cross-sectional area of type I fibers was unchanged with age, whereas that of type II fibers was reduced (P < 0.001). With age there was an increased MHC I (P < 0.01) and reduced MHC IIx isoform content (P < 0.05) but no differences in MHC IIa. Specific tension of type I and IIa MHC fibers did not differ between younger and older subjects. V(o) of fibers expressing type I MHC was lower (P < 0.05) in older than in younger subjects, but there was no difference in V(o) of type IIa MHC fibers. An aging-related decline of maximal isometric force (P < 0.001) and normalized rate of force development (P < 0.05) of knee extensors was observed. Normalized rate of force development was positively associated with MHC II (P < 0.05). The sprint-trained athletes experienced the typical aging-related reduction in the size of fast fibers, a shift toward a slower MHC isoform profile, and a lower V(o) of type I MHC fibers, which played a role in the decline in explosive force production. However, the muscle characteristics were preserved at a high level in the oldest runners, underlining the favorable impact of sprint exercise on aging muscle.",2006,Sep,J Appl Physiol (1985),101,3,906-17,,10.1152/japplphysiol.00299.2006,16690791,#2890,Korhonen 2006,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
"Function, morphology and protein expression of ageing skeletal muscle: a cross-sectional study of elderly men with different training backgrounds.",Klitgaard H; Mantoni M; Schiaffino S; Ausoni S; Gorza L; Laurent-Winter C; Schnohr P; Saltin B,"The function and morphology of knee extension/m. vastus lateralis and elbow flexion/m. biceps brachii were studied in young (28 +/- 0.1 years, n = 7) and elderly (68 +/- 0.5 years, n = 8) sedentary subjects and in elderly swimmers (69 +/- 1.9 years, n = 6), runners (70 +/- 0.7 years, n = 5) and strength-trained subjects (68 +/- 0.8 years, n = 7). On average, the training groups had, for the 12-17 years before the measurements were taken, performed their training regimen 3 +/- 0.1 times a week. Compared with the young subjects, the maximal isometric torque of the sedentary elderly subjects was 44% (P less than 0.05) lower in knee extension and 32% (P less than 0.05) lower in elbow flexion, and speed of movement was between 20 and 26% (P less than 0.05) lower in both knee extension and elbow flexion. The cross-sectional area of m. quadriceps femoris and the elbow flexors was also 24% (P less than 0.05) and 20% lower respectively, and the specific tension was 27% (P less than 0.05) lower in m. quadriceps femoris and 14% (P less than 0.05) lower in the elbow flexors. A 27% (P less than 0.05) higher content of myosin heavy chain type I and a 39% (P less than 0.05) higher content of the slow-type myosin light chain--2 was observed in m. vastus lateralis of the sedentary elderly subjects as compared with the young subjects. The same tendency was also seen with m. biceps brachii. Since the histochemical fibre-type distribution was identical and no major co-expression of type I and type II myosin heavy-chain isoforms was observed with immunocytochemistry, the increase in slow myosin isoforms with ageing seems mainly related to a larger relative area of type I fibres, induced by a selective atrophy of type II fibre area. An increased content of the beta-isoform of tropomyosin was also demonstrated with ageing. In contrast to the swimmers and runners, the elderly strength-trained subjects had maximal isometric torques, speed of movements, cross-sectional areas, specific tensions and a content of myosin and tropomyosin isoforms in both muscles studied identical to those of the young controls. These results seem to suggest that strength training can counteract the age-related changes in function and morphology of the ageing human skeletal muscle.",1990,Sep,Acta Physiol Scand,140,1,41-54,,10.1111/j.1748-1716.1990.tb08974.x,2275404,#2899,Klitgaard 1990,Exclusion reason: PCSA not directly measured; ,Whole muscle,ST of muscle fibers,,,,,,,,
Human vastus lateralis and soleus muscles display divergent cellular contractile properties.,Luden N; Minchev K; Hayes E; Louis E; Trappe T; Trappe S,"The purpose of this study was to investigate potential differences in single-fiber contractile physiology of fibers with the same myosin heavy chain isoform (MHC I and MHC IIa) originating from different muscles. Vastus lateralis (VL) and soleus biopsies were obtained from 27 recreationally active females (31 +/- 1 yr, 59 +/- 1 kg). A total of 943 single fibers (MHC I = 562; MHC IIa = 301) were isolated and examined for diameter, peak tension (Po), shortening velocity (Vo), and power. The soleus had larger (P < 0.05) fibers (MHC I +18%; MHC IIa +19%), higher MHC I Vo (+13%), and higher MHC I Po (+18%) compared with fibers from the VL. In contrast, fibers from the VL had higher (P < 0.05) specific tension (MHC I +18%; MHC IIa +20%), and MHC I normalized power (+25%) compared with the soleus. There was a trend for MHC IIa soleus fibers to have higher Vo [MHC IIa +13% (P = 0.058)], whereas VL MHC IIa fibers showed a trend for higher normalized power compared with soleus fibers [MHC IIa +33% (P = 0.079)]. No differences in absolute power were detected between muscles. These data highlight muscle-specific differences in single-fiber contractile function that should serve as a scientific basis for consideration when extending observations of skeletal muscle tissue from one muscle of interest to other muscles of origin. This is important when examining skeletal muscle adaptation to physical states such as aging, unloading, and training.",2008,Nov,Am J Physiol Regul Integr Comp Physiol,295,5,R1593-8,,10.1152/ajpregu.90564.2008,18815206,#2923,Luden 2008,Exclusion reason: specific tension from single fibers; ,Fiber,ST value not reported (1RM/ CSA for  EF& EE),,,,,,,,
"The effects of accentuated eccentric loading on strength, muscle hypertrophy, and neural adaptations in trained individuals.",Brandenburg JP; Docherty D,"The purpose of this study was to compare the strength and neuromuscular adaptations for dynamic constant external resistance (DCER) training and dynamic accentuated external resistance (DAER) training (resistance training employing an accentuated load during eccentric actions). Male subjects active in resistance training were assigned to either a DCER training group (n = 10) or a DAER training group (n = 8) for 9 weeks. Subjects in the DCER group performed 4 sets of 10 repetitions with a load of 75% concentric 1 repetition maximum (RM). Subjects in the DAER group performed 3 sets of 10 repetitions with a concentric load of 75% of 1RM and an eccentric load of approximately 120% of concentric 1RM. Three measures reflecting adaptation of elbow flexors and extensors were recorded pretraining and posttraining: concentric 1RM, muscle cross-sectional area (CSA), and specific tension. Strength was assessed at midtraining periods. No significant changes in muscle CSA were observed in either group. Both training groups experienced significant increases in concentric 1RM and specific tension of both the elbow flexors and extensors, but compared with DCER training, DAER training produced significantly greater increases in concentric 1RM of the elbow extensors. These results suggest that, for some exercises, DAER training may be more effective than DCER training in developing strength within a 9-week training phase. However, for trained subjects, neither protocol is effective in eliciting muscle hypertrophy.",2002,Feb,J Strength Cond Res,16,1,25-32,,,11834103,#2948,Brandenburg 2002,Exclusion reason: muscles grouped as one; ,,ST of muscle fibers,,,,,,,,
Maximum velocity of shortening in relation to myosin isoform composition in single fibres from human skeletal muscles.,Larsson L; Moss RL,"1. Maximum velocity of shortening (Vmax) and compositions of myosin heavy chain (MHC) and myosin light chain (MLC) isoforms were determined in single fibres from the soleus or the lateral region of the quadriceps (vastus lateralis) muscles in man. Muscle samples were obtained by percutaneous biopsy, and membranes were permeabilized by glycerol treatment (chemical skinning) or by freeze-drying. 2. Types I, IIA and IIB MHCs were resolved from single fibre segments by 6% sodium dodecyl sulphate-polyacrylamide gel electrophoresis (SDS-PAGE) and five different fibre types were identified: fibres containing type I MHC, types I and IIA MHCs, type IIA MHC, types IIA and IIB MHCs, and type IIB MHC. Only a few fibres co-expressed types I and IIA MHCs but 28% of all quadriceps fibres expressed both IIA and IIB MHCs in variable proportions. Fibres co-expressing types I and IIB MHCs were not found. 3. Alkali (MLC1 and MLC3) and dithio nitrobenzoic acid (DTNB) (MLC2) myosin light chains were observed in all type II fibres in variable proportions. MLC (MLC1s and MLC2s) isoforms from type I fibres had lower migration rates than the corresponding isoforms from type II fibres (MLC1f and MLC2f). More than half of type I fibres in both soleus (65%) and quadriceps (68%) muscles also expressed 'fast' MLC3 and 36% of the type II fibres from quadriceps muscle expressed the slow isoform of MLC2. 4. Differences were observed in some mechanical characteristics of freeze-dried versus chemically skinned fibres. Maximum tension (P0) and specific tension were lower in freeze-dried types I and IIA fibres than in chemically skinned, while no differences were observed in the IIA/B fibres. The numbers of types I/IIA and IIB fibres were too low to allow statistical comparisons. In chemically skinned fibres, mean specific tension (0.20 +/- 0.01 N/mm2) did not vary with fibre type. In freeze-dried fibres, on the other hand, specific tensions varied according to MHC type: higher (P < 0.01) specific tensions were observed in types IIB (0.19 +/- 0.01 N/mm2) and type IIA/B fibres (0.18 +/- 0.04 N/mm2) than in type I fibres (0.12 +/- 0.02 N/mm2). The specific tension of type IIA fibres (0.12 +/- 0.05 N/mm2) did not differ significantly from the other fibre types. Cross-sectional areas and mean Vmax did not differ between freeze-dried and chemically skinned fibres, either when all fibres were pooled or within respective fibre types. Vmax data from all fibres of a given type, irrespective of membrane permeabilization technique, have therefore been pooled.(ABSTRACT TRUNCATED AT 400 WORDS)",1993,Dec,J Physiol,472,,595-614,,10.1113/jphysiol.1993.sp019964,8145163,#2955,Larsson 1993,Exclusion reason: specific tension from single fibers; ,,ST value not reported (F/CSA for QF),,,,,,,,
"Relative changes in maximal force, EMG, and muscle cross-sectional area after isometric training.",Garfinkel S; Cafarelli E,"The purpose of this experiment was to determine whether training-induced increases in maximal voluntary contraction (MVC) can be completely accounted for by increases in muscle cross-sectional area. Fifteen female university students were randomly divided into a control (N = 7) and an experimental (N = 8) group. The experimental group underwent 8 wk of isometric resistance training of the knee extensors of one leg; the other leg was the untrained control. Training consisted of 30 MVC.d-1 x 3 d.wk-1 x 8 wk. Extensor cross-sectional area (CSA), assessed by computerized tomographic (CT) scanning of a cross-sectional slice at mid-thigh, was used as a measure of muscle hypertrophy. After 8 wk of training, MVC increased by 28% (P < 0.05), CSA increased by 14.6% (P < 0.05), and the amplitude of the electromyogram at MVC (EMGmax) was unchanged in the trained leg of the experimental subjects. The same measures in the untrained legs of the experimental subjects and in both legs of the control subjects were not changed after training. Although there was an apparent discrepancy between the increase in MCV (28%) and CSA (14.6%), the ratio between the two, the specific tension (N.cm-2), was not significantly different after training. As a result of these findings, we conclude that in these subjects there is no evidence of nonhypertrophic adaptations to resistance training of this type and magnitude, and that the increase in force-generating capacity of the muscle is due to the synthesis of additional contractile proteins.",1992,Nov,Med Sci Sports Exerc,24,11,1220-7,,,1435173,#2964,Garfinkel 1992,Exclusion reason: Specific tension value not reported; ,Whole muscle; external force measured,ST of muscle fibers,,,,,,,,
In vivo and in vitro evidence that intrinsic upper- and lower-limb skeletal muscle function is unaffected by ageing and disuse in oldest-old humans.,Venturelli M; Saggin P; Muti E; Naro F; Cancellara L; Toniolo L; Tarperi C; Calabria E; Richardson RS; Reggiani C; Schena F,"AIM: To parse out the impact of advanced ageing and disuse on skeletal muscle function, we utilized both in vivo and in vitro techniques to comprehensively assess upper- and lower-limb muscle contractile properties in 8 young (YG; 25 ± 6 years) and 8 oldest-old mobile (OM; 87 ± 5 years) and 8 immobile (OI; 88 ± 4 years) women. METHODS: In vivo, maximal voluntary contraction (MVC), electrically evoked resting twitch force (RT), and physiological cross-sectional area (PCSA) of the quadriceps and elbow flexors were assessed. Muscle biopsies of the vastus lateralis and biceps brachii facilitated the in vitro assessment of single fibre-specific tension (Po). RESULTS: In vivo, compared to the young, both the OM and OI exhibited a more pronounced loss of MVC in the lower limb [OM (-60%) and OI (-75%)] than the upper limb (OM = -51%; OI = -47%). Taking into account the reduction in muscle PCSA (OM = -10%; OI = -18%), only evident in the lower limb, by calculating voluntary muscle-specific force, the lower limb of the OI (-40%) was more compromised than the OM (-13%). However, in vivo, RT in both upper and lower limbs (approx. 9.8 N m cm(-2) ) and Po (approx. 123 mN mm(-2) ), assessed in vitro, implies preserved intrinsic contractile function in all muscles of the oldest-old and were well correlated (r = 0.81). CONCLUSION: These findings suggest that in the oldest-old, neither advanced ageing nor disuse, per se, impacts intrinsic skeletal muscle function, as assessed in vitro. However, in vivo, muscle function is attenuated by age and exacerbated by disuse, implicating factors other than skeletal muscle, such as neuromuscular control, in this diminution of function.",2015,Sep,Acta Physiol (Oxf),215,1,58-71,,10.1111/apha.12524,25965867,#2974,Venturelli 2015,Exclusion reason: specific tension from single fibers; ,Fiber,Muscle Fiber,,,,,,,,
Lower limb skeletal muscle function after 6 wk of bed rest.,Berg HE; Larsson L; Tesch PA,"Force, electromyographic (EMG) activity, muscle mass, and fiber characteristics were studied in seven healthy men before and after 6 wk of bed rest. Maximum voluntary isometric and concentric knee extensor torque decreased (P < 0.05) uniformly across angular velocities by 25-30% after bed rest. Maximum quadricep rectified EMG decreased by 19 +/- 23%, whereas submaximum (100-Nm isometric action) EMG increased by 44 +/- 28%. Knee extensor muscle cross-sectional area (CSA), assessed by using magnetic resonance imaging, decreased by 14 +/- 4%. Maximum torque per knee extensor CSA decreased by 13 +/- 9%. Vastus lateralis fiber CSA decreased 18 +/- 14%. Neither type I, IIA, and IIB fiber percentages nor their relative proportions of myosin heavy chain (MHC) isoforms were altered after bed rest. Because the decline in strength could not be entirely accounted for by using decreased muscle CSA, it is suggested that the strength loss is also due to factors resulting in decreased neural input to muscle and/or reduced specific tension of muscle, as evidenced by decreased torque/EMG ratio. Additionally, it is concluded that muscle unloading in humans does not induce important changes in fiber type or MHC composition or in vivo muscle contractile properties.",1997,Jan,J Appl Physiol (1985),82,1,182-8,,10.1152/jappl.1997.82.1.182,9029214,#2978,Berg 1997,Exclusion reason: Wrong study design; ,,ST value not reported (1RM/ QF muscle thickness),,,,,,,,
Repetitions to failure versus not to failure during concurrent training in healthy elderly men: A randomized clinical trial.,da Silva LXN; Teodoro JL; Menger E; Lopez P; Grazioli R; Farinha J; Moraes K; Bottaro M; Pinto RS; Izquierdo M; Cadore EL,"This randomized clinical trial compared the neuromuscular adaptations induced by concurrent training (CT) performed with repetitions to concentric failure and not to failure in elderly men. Fifty-two individuals (66.2 ± 5.2 years) completed the pre- and post-measurements and were divided into three groups: repetitions to failure (RFG, n = 17); repetitions not to failure (NFG, n = 20); and repetitions not to failure with total volume equalized to RFG (ENFG, n = 15). Participants were assessed in isometric knee extension peak torque (PT(iso)), maximal strength (1RM) in the leg press (LP) and knee extension (KE) exercises, quadriceps femoris muscle thickness (QF MT), specific tension, rate of torque development (RTD) at 50, 100 and 250 ms, countermovement jump (CMJ) and squat jump (SJ) performance, as well as maximal neuromuscular activity (EMG(max)) of the vastus lateralis (VL) and rectus femoris (RF) muscles. CT was performed over 12 weeks, twice weekly. Along with each specific strength training program, each group also underwent an endurance training in the same session. After training, all groups improved similarly and significantly in LP and KE 1RM, PT(iso), CMJ and SJ performance, RTD variables, specific tension, and VL EMG(max), (P < 0.05-0.001). QF MT improved only in RFG and ENFG (P < 0.01). These results suggest that repetitions until concentric failure does not provide further neuromuscular performance gains and muscle hypertrophy, and that even a low number of repetitions relative to the maximal possible (i.e., 50%) optimizes neuromuscular performance in elderly men. Moreover, training volume appears to be more important for muscle hypertrophy than training using maximal repetitions.",2018,Jul,Exp Gerontol,108,,18-27,,10.1016/j.exger.2018.03.017,29577974,#3009,daSilvaLXN 2018,Exclusion reason: individual muscle force not measured/ uses dynamic strength 1RM; ,,Torque/PCSA reported,,,,,,,,
Contractile muscle volume and agonist-antagonist coactivation account for differences in torque between young and older women.,Macaluso A; Nimmo MA; Foster JE; Cockburn M; McMillan NC; De Vito G,"It is controversial whether specific tension (the ratio between muscle strength and size) declines with aging. Therefore, contractile muscle volume was estimated separately from the intramuscular noncontractile tissue by magnetic resonance imaging, and maximum isometric torque was measured in the knee extensors and flexors of 10 young (22.8 +/- 5.7 years) and 10 older (69.5 +/- 2.4 years) healthy active women. Specific tension was lower in the older women both in the extensors (93.1 +/- 20.1 kN x m(-2) vs. 112.1 +/- 12.3 kN x m(-2); P < 0.05) and in the flexors (100 +/- 31 kN x m(-2) vs. 142.7 +/- 23.9 kN x m(-2); P < 0.01). This was accompanied by an increase in the percentage coactivation of the knee flexors during knee extension. These data suggest that the lower level of muscle torque in the older women can be explained not only by smaller contractile muscle mass but also by increased coactivation of the antagonist muscles during knee extension.",2002,Jun,Muscle Nerve,25,6,858-63,,10.1002/mus.10113,12115975,#3024,Macaluso 2002,Exclusion reason: Torque/PCSA reported instead of specific tension (F/PCSA) value reported; ,,ST of muscle fibers,,,,,,,,
