PDF_ID	Calc	Assumptions
2837	"
To calculate specific tension in this study, the following steps can be followed:
1. Measure the torque produced by the muscle during maximum voluntary contraction (MVC) using a dynamometer.
2. Calculate the force produced by the muscle by dividing the torque by the distance between the axis of rotation and the line of action of the force (assuming the muscle acts at right angles to the axis of rotation).
3. Measure the cross-sectional area (CSA) of the muscle using magnetic resonance imaging (MRI) or computed tomography (CT) scans.
4. Calculate the pennation angle (PA) of the muscle fibers using MRI or CT scans.
5. Calculate the pennated CSA (PCSA) by multiplying the CSA by the cosine of the PA.
6. Calculate the specific tension by dividing the force produced by the muscle by the PCSA.
7. Analyze the correlation between specific tension and other muscle size measures (such as CSA) to determine the strength-size relationship.
Note: In this study, the authors acknowledge that none of the muscle size measures are without error and that this error cannot be ignored when interpreting the muscle strength-size relationship. They also suggest that if true specific tension in vivo is a measurement of interest, PCSA and tendon tension should probably be determined accurately."	"

There is no weakness in the calculation of specific tension mentioned in the given context information. The study used linear regression to further study the relationship between MVC (dependent variable) and six assessments of lower leg muscle size (independent variable) (lower leg LM, circumference, estimated muscle 1boneCSA, ACSA, VOLm, and PCSA). The Y-intercept was considered different from zero if the 95% confidence limits did not contain zero for regression analysis. The study also tested group differences between endurance-trained (N=57) and untrained (N=532) subjects using one-tailed independent t-test with the apriori assumption that the trained group would have more LM in the lower leg than the untrained group. Significance for all tests was accepted at a P,0.05 level of confidence. Therefore, the weakness in calculation of specific tension is not mentioned in the study."
2938	"

To calculate specific tension in this study, the following steps were taken:
1. Measurement of torque: The peak torque (PT) was measured using an isokinetic dynamometer (Cybex Norm, Stoughton, MA) during plantarflexion of the ankle joint at an angular velocity of 60°/s. The torque was measured in Nm.
2. Measurement of force: The Achilles tendon force (PF) was calculated by dividing PT by the Achilles tendon moment arm length (Fig. 3). The force was measured in N.
3. Calculation of PCSA: The pennate angle (?) was measured from the ultrasound images of the GL muscle (Fig. 1). The pennate angle was used to calculate the pennation angle-corrected physiological cross-sectional area (PCSA) of the GL muscle using the following formula:
PCSA = (1/cos?) * (muscle area) * (fascicle length) * (fascicle number)
The PCSA was measured in cm2.
4. Calculation of specific tension: The specific tension (ST) was calculated by dividing PF by the PCSA:
ST = PF / PCSA
The specific tension was measured in N/cm2.
In summary, the specific tension was calculated by dividing the Achilles tendon force (PF) by the pennate angle-corrected physiological cross-sectional area (PCSA) of the GL muscle."	"
The calculation of specific tension in this study may have some weaknesses in measuring muscle force or volume due to the fact that the value of torque calculated with the method used probably represents a peak MVC rather than the true maximal MVC that would have been obtained by adding a tetanus rather than doublet to the voluntary torque. This is because the delivery of a tetanic current is extremely painful and the population studied included older individuals, so a doublet was used instead. However, the authors acknowledge that this method may not accurately represent the true maximal MVC and have previously presented data on muscle activation capacity (34) and the possible influence of tendon compliance on the assessment of activation in the elderly (32)."
2646	"
To calculate specific tension in this study, the following steps were taken:
1. Measurement of torque: The maximum isometric torque was measured for plantar flexors and dorsiflexors at different ankle angles using a custom-made dynamometer. The torque was measured in Nm (Newton-meters).
2. Calculation of force: The force was calculated by dividing the measured torque by the moment arm (distance between the line of action of the force and the axis of rotation). The force was measured in N (Newtons).
3. Calculation of PCSA: The PCSA (physiological cross-sectional area) was calculated for triceps surae (plantar flexors) and tibialis anterior (dorsiflexors) using MRI scans. The PCSA was measured in cm2 (square centimeters).
4. Calculation of specific tension: Specific tension was calculated by dividing the force by the PCSA. The specific tension was measured in N/cm2 (Newtons per square centimeter).
5. Comparison of specific tension: The specific tension was compared between plantar flexors and dorsiflexors at different ankle angles to determine if there were any differences in specific tension between the two muscle groups. The correlation coefficients between PCSA and tendon tension were also calculated to determine if there were any changes in the relationship between PCSA and tendon tension with changes in ankle angle."	"

According to the paper ""Specific tension of human plantar flexor,"" there are significant limitations in the methods used to estimate the parameters necessary to calculate specific tension in human muscles. These limitations include assumptions in measuring muscle force or volume. The paper suggests that variations in muscle volume, fiber length, fiber pinnation, fiber type, joint mechanics, and maximum voluntary contraction cannot account for the twofold difference in specific tension observed between dorsiflexors and plantar flexors. Instead, the differences in specific tension may be due to how the force of fibers is transmitted through the muscle matrix and to the tendon rather than to a difference in the fundamental mechanics of force generation within the sarcomeres."
4040	"
To calculate specific tension in this study, the following steps were taken:
1. The GL component of plantarflexor torque was measured during MVC and normalized to the GL ACSA to obtain the torque per unit ACSA (MVC/ACSA).
2. The GL component of tendon force was calculated by multiplying the measured tendon force by the cosine of the pennation angle measured during contraction.
3. The fascicle force was calculated by dividing the GL component of tendon force by the cosine of the pennation angle.
4. The PCSA was measured using the method described in the study.
5. Specific tension was calculated by dividing the fascicle force by the PCSA.
6. The results were presented as means with standard deviation.
7. Differences between groups were assessed using independent samples Student's t-tests, with distribution and homogeneity of variance assessed using the Shapiro-Wilk test and Levene test, respectively. The level of significance was set at the 5% level."	"
The present method of assessing specific force in vivohas been derived from techniques utilized previously in the soleus, tibialis anterior, and vastus lateralis muscles (28, 35, 39). However, the study did not mention any weakness in calculation of specific tension such as assumptions in measuring muscle force or volume. The weakness in calculation of specific tension could be due to factors such as differences in moment arm length, muscle activation, or architecture, which were mentioned in the results section but were not addressed in the methodology section. This finding could not be explained by differences in moment arm length, muscle activation, or architecture, and other factors, such as tendinous characteristics and/or changes in moment arm length with contraction, may be held responsible. These observations warrant further investigation."
4162	"
To calculate specific tension in this study, the following steps were taken:
1. Measurement of torque: The torque was measured using an isokinetic dynamometer (Biodex System 3, Biodex Medical Systems Inc., Shirley, NY) at an angular velocity of 60°/s. The participants performed three maximal voluntary contractions (MVC) for each leg, with a 30-second rest between each contraction. The highest torque value was recorded for each leg.
2. Calculation of external force: The external force used in the calculation of specific tension was the ""true MVC,"" which was estimated using the following formula: True MVC = MVC immediately prior to the superimposed doublet/(1 - t/T). Where t was the amplitude of the superimposed doublet (ie, the size of the additional peak) and T was the value of the doublet applied to the resting muscle 1 s prior to MVC.
3. Measurement of PCSA: The PCSA was calculated using the following formula: PCSA = (muscle area × pennation angle × cosine of the pennation angle)/2. The muscle area was measured using magnetic resonance imaging (MRI) scans, and the pennation angle was measured using ultrasound imaging.
4. Calculation of specific tension: Specific tension was estimated using the following formula: Specific tension = (external torque/moment arm)/(PCSA * pennation angle) or simplified to: Patella tendon force/(PCSA * pennation angle). The external torque was calculated using the torque measured during the MVC, the moment arm was measured using anthropometric measurements, and the PCSA was calculated using the formula mentioned above. The pennation angle was measured using ultrasound imaging.
5. Calculation of in situ specific force: To account for the reduction in transmission of forces from fibers to aponeurosis due to the angle between the fascicles and the line of pull through the patella tendon, in situ specific force was estimated using the following formula: (external torque/moment arm)/(PCSA * pennation angle). The external torque was calculated using the torque measured during the MVC, the moment arm was measured using anthropometric measurements, and the PCSA was calculated using the formula mentioned above. The pennation angle was measured using ultrasound imaging."	"

The calculation of specific force in this study involves dividing the external force used in the calculation by the product of PCSA (physiological cross-sectional area) and pennation angle. The external force used in the calculation of specific force was the ""true MVC,"" which is the estimated MVC if full voluntary activation was possible. This calculation assumes that the true MVC can be accurately measured using the superimposed doublet technique, which involves applying a doublet (a small additional peak) to the resting muscle and measuring the amplitude of the resulting peak. However, this technique may not accurately reflect the true MVC due to factors such as fatigue or variability in muscle activation. Additionally, the calculation assumes that PCSA can be accurately measured using muscle biopsies taken from midway along the length of the right vastus lateralis muscle (VL). However, this measurement may not accurately reflect the overall muscle volume due to variations in muscle fiber orientation and distribution throughout the muscle."
2833	"
To calculate specific tension (ST), the following steps were taken:
1. Calculate maximal tendon force (FT) by correcting knee extension moment of force (MVT) for antagonist torque (HEMG at knee extensor MVT normalized to HEMG MAX (i.e., at KF MVT) multiplied by KF MVT).
2. Calculate physiological cross-sectional area (PCSA) per constituent muscle by dividing individual muscle volume by F L (mean of sites for that constituent).
3. Sum the PCSA of the four constituent muscles to get quadriceps physiological cross-sectional area (QPCSA).
4. Calculate effective physiological cross-sectional area (EFFPCSA) by multiplying PCSA by cosine of mean /H9008P (28).
5. Sum the EFFPCSA of the four constituent muscles to get quadriceps effective physiological cross-sectional area (Q EFFPCSA).
6. Calculate specific tension (ST) by dividing maximal tendon force (FT) by quadriceps effective physiological cross-sectional area (Q EFFPCSA)."	"

There is no weakness in calculation of specific tension mentioned in the given context information. The study found modest differences in specific tension ( /H110018%), even after the average 4 yr of regular, heavy RT of LTT. The authors did not mention any assumptions in measuring muscle force or volume that could have affected the calculation of specific tension."
2995	"
To calculate specific tension (N/cm2), the following steps can be followed:
1. Measure the torque (Nm) generated by the muscle during an isometric contraction using a dynamometer or other appropriate equipment.
2. Calculate the force (N) generated by the muscle by dividing the torque by the moment arm (cm) of the joint being tested.
3. Determine the physiological cross-sectional area (PCSA) of the muscle using MRI and the estimated fascicle length (cm) determined from cadavers.
4. Calculate the specific tension (N/cm2) by dividing the force (N) generated by the muscle by the PCSA (cm2).
5. Normalize the specific tension for age by comparing it to the specific tension values obtained from young subjects in previous studies.
6. Analyze the data to determine if there are significant differences in specific tension between young and elderly subjects for each muscle tested."	"

The study mentions that the EEs (elbow extensors) had weaker electromyographic (EMG) activity compared to the EFs (elbow flexors) despite having almost twice the physiological cross-sectional area (PCSA). This resulted in a lower normalized force (NF) in the EEs compared to the EFs by almost 50%. Part of the difference in NF between the muscle groups is due to the fact that the pronator teres and the extensor carpi radialis longus muscles, which can function as elbow flexors, were not included in the EF volume. Consequently, NF of the EFs was likely overestimated by 15% in the present study (38). A more important factor contributing to the lower NF in the EEs compared to the EFs is the smaller moment arm length of the triceps brachii compared to the EFs (38). Therefore, the study highlights that assumptions in measuring muscle force or volume can affect the calculation of specific tension. In this case, the exclusion of certain muscles in the EF volume led to an overestimation of NF in the EFs."
4196	"
To calculate specific tension (Si), we first determined the force (F) for each muscle at each length (L) during the intraoperative measurement of torque. The cross-sectional area (CSA) of each muscle was calculated using the measured muscle volume (V) and the measured muscle length (L) using the following equation: CSA = V/L. The pennation angle (?) was measured for each muscle using ultrasound imaging during the intraoperative measurement of torque. The pennation angle was used to calculate the physiological cross-sectional area (PCSA) using the following equation: PCSA = CSA * cos(?). The specific tension (Si) was then calculated using the following equation: Si = F/PCSA. The specific tension was calculated for each muscle at each length during the intraoperative measurement of torque."	"
The study acknowledges that the calculation of specific tension involves multiple assumptions and steps, including converting joint torque to tendon force based on the relationship between joint angle and moment arm. The study also assumes that twitch tension force scales equivalently to tetanic tension force with increasing recruitment. However, the study estimates that these assumptions would affect the calculations by less than 10%. Therefore, the weakness in calculation of specific tension in this study lies in the assumptions made in measuring muscle force and volume, which may introduce some level of error in the calculations."
4106	"

To calculate specific tension (N/cm2), we need to know the torque (Nm), force (N), and PCSA (cm2) of the muscle being studied. The specific tension can be calculated using the following formula:

Specific tension (N/cm2) = (torque (Nm) / PCSA (cm2)) / force (N)

In this study, the torque was measured during isometric plantarflexions of increasing intensity up to MVC (maximum voluntary contraction). The force was calculated by dividing the torque by the moment arm (distance from the joint axis to the line of action of the force). The PCSA was calculated using the equation:

PCSA = (V / Lf) cos0

where V is the muscle volume (cm3) and Lf is the fibre length (cm). The angle of pennation (0) was measured using ultrasound imaging. The muscle volume was calculated by multiplying the muscle thickness (cm) by the muscle width (cm) and the length of the muscle (cm).

To calculate the specific tension for this study, we would need to measure the torque, force, PCSA, muscle thickness, muscle width, and fibre length for each muscle being studied during each contraction at each joint angle. The specific tension would then be calculated for each contraction at each joint angle using the above formula."	"
The weakness in calculation of specific tension in this study is highlighted by the authors themselves when they state that ""calculations of muscle specific tension made without using the PCSA relating to the joint angle at which the force was measured maybe considerably wrong."" This implies that the PCSA (physiological cross-sectional area) of the muscle may vary depending on the joint angle at which the force was measured, which was not taken into account in previous calculations of specific tension. This highlights the importance of considering the joint angle when calculating specific tension in order to obtain accurate results."
2677	"
To calculate specific tension in this study, the following steps can be taken:
1. Measure the torque generated by the muscle during the experiment using a dynamometer.
2. Calculate the force generated by the muscle by dividing the torque by the distance between the axis of rotation and the point of application of the force (lever arm).
3. Determine the physiological cross-sectional area (PCSA) of the muscle by dividing the muscle volume by the muscle fibre length (Fukunaga et al., 1992; Wickiewicz et al., 1983).
4. Calculate the specific tension by dividing the force generated by the muscle by the PCSA (Edgerton et al., 1986).
5. Repeat steps 1-4 for each muscle being studied to obtain specific tension values for each muscle."	"

There is no weakness in the calculation of specific tension mentioned in the given context. The study mentions that the PCSA has been determined by dividing muscle volume by muscle fibre length, which has been done in previous studies by direct dissection of human cadaver specimens (Fukunaga et al., 1992; Wickiewicz et al., 1983). However, the weakness in measuring muscle force has been acknowledged in the study, where it is stated that the force exerted by muscle fibres is influenced and modified by various anatomical factors before it appears as the moment around a joint, making it difficult to evaluate the force-producing properties of the muscle itself from torque measurements."
