CovidenceID,Method, Muscle Volume measurement, Fiber /fascicle length measurement , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, miscellaneous
4128,2,,,,,,
4128,3,,,,,,
4127,1," In young adults, the CSA
was added on alternate slices. Then, the sum was multiplied
by 1 cm. ",,"A series of cross-sectional images of the right arm was
obtained using an MRI 
 Two scans were performed as follows. The first
scans were carried out from the head of the humerus to the
applied marker. The second scans were performed from the
marker to the distal end of elbow flexors. 
The maximal value of CSA was adopted as ACSA","The TQ of elbow flexion was measured using a torque meter

The subjects seated on a test
chair, and their right arms were secured to the torque meter
with an unelastic belt. The subjects kept 90◦ of shoulder joint
flexion angle and elbow joint angle, and their wrists were fixed
in a position halfway between supination and pronation. The
subjects performed MVC of isometric elbow joint flexion
for 3 s

The TQ measurements
were performed two times with at least a 5 min interval. If
the difference between two values of TQ was >10% of the
higher one, the TQ was measured one more time. In two
or three TQ measurements, the highest value was adopted.
","The TQ was converted to F by dividing it by the forearm
length (the distance from the head of radius to the processus
styloideus) of each subject",
4127,2,"In elderly individuals, the MV was calculated by
multiplying the sum of the CSA of elbow flexors along their
length by the interval of 1 cm.",,,,,
4127,3,,,,,,
2995,1,"The arm was imaged in four segments from the top of the humerus to the wrist by moving the extremity coil three times
Muscle volume was calculated as the summation of cross-
sectional area times slice thickness (7 mm) for all slices along
the length of the muscle

The biceps brachii, brachialis, and bra-
chioradialis muscles were traced in each image and together
made up the EFs. The brachioradialis volume was then estimated to be 39% of the combined volume of these three muscles
Muscle volume was calculated as the summation of cross-
sectional area times slice thickness (7 mm) for all slices along the length of the muscle. 

","Muscle length was the distance between the most proximal and the most distal images in which the muscle was visible.

Muscle fiber length was estimated by multiplying muscle length (from MRI) by the fiber length-to-muscle length ratio determined in cadavers (38). The ratios used were 0.60, 0.49, 0.68, and 0.33 for the biceps brachii, brachialis, brachioradialis, and triceps brachii, respectively (38).

It was assumed that the fiber length-to-muscle length ratio was the same in the young and old men

No data are available for the fiber length-to-muscle length ratio in the anconeus, so it was assumed to be the same as the biceps brachii because the fibers run parallel in both muscles

","MRI: The PCSA was calculated by dividing muscle volume by the estimated fiber (fascicle)
length. The PCSA of the triceps brachii was multiplied by the cosine
of the fiber pennation angle, assumed to be 15° for both groups, whereas the EFs were assumed to have no pennation","The subjects were supine on a padded
table and the left arm (nondominant in all cases) was placed
in a custom-designed force dynamometer. The elbow joint was flexed 100° (180° 5 full extension), and the forearm was fully supinated to record optimum MVCs of the EFs and EEs. The MVCs were determined during each of three visits to the laboratory over 2-4 wk. Three to four MVCs, each held for 4 s with a 3-min rest, were recorded for each of the EFs and EEs during all visits. The highest MVC of
the three visits was used to calculate muscle activation.  
","MVC recorded. 
The subjects were supine on a padded table and the left arm (nondominant in all cases) was placed in a custom-designed force dynamometer

The ventral (or dorsal, for EEs) aspect of the wrist was secured with a strap to a padded curved bar, that had a strain gauge attached for measuring force

A modified twitch interpolation technique was used to assess the level of muscle activation during the MVC

Coactivation during the MVC was determined by recording the EMG activity over the antagonist muscle(s)

","The biceps brachii, brachialis, and brachioradialis muscles were traced in each image and together made up the (Elbow Flexors)  EFs. The triceps brachii and anconeus were traced and together made up the (Elbow Extensors) EEs. The pronator teres and the extensor carpi radialis longus muscles, which together generate 15% of EF torque (38), were not included in the EF volume because they were not clearly visible in the imagesover their entire length. The brachioradialis, extensor carpiradialis longus, and brevis muscles were traced as a group
The brachioradialis volume was then estimated to be 39% ofthe combined volume of these three muscles (4). The length of the brachioradialis, however, could be determined because the origin and insertion regions were clearly evident in all images. The coracobrachialis muscle was traced as part of the biceps brachii because these two muscles could not be sepa-rated convincingly throughout their entire length. In bothyoung and old cadavers, the coracobrachialis is 23% of the weight of the biceps brachii plus the coracobrachialis (47). To exclude the coracobrachialis from the EF volume, the biceps brachii volume was reduced by 23% in all subjects."
2995,2,"The triceps brachii and anconeus were
traced and together made up the EEs.",,,,,
2995,3,,,,,,
2837,1,Estimated from manually traced CSA on MRI slides. Each slide was extrapolated to 1 cm thickness to calculate the volume and all slices were summed to find the volume of the entire length. ,"Fiber length was not directly measured. Obtained from previous cadaveric studies. Fiber length of each muscle was estimated from muscle length using fiber length/muscle length ratios reported previously. 
SOL 0.06
MG 0.14
LG 0.23
Angles of pennation were 
SOL 25
MG 17
LG 8
","From MRI,
CSA was determined by manually tracing the area around the
muscles on a computer-generated image of each slice in the set.The image yielding the largest CSA was used as ACSA.

The PCSA of triceps surae was estimated from VOLm, angle of pennation,
and fiber length for each individual muscle in triceps surae (soleus, SOL; medial gastrocnemius, MG; lateral gastrocnemius, LG) 

PCSA=Vol*cos(alpha)/fiber length

PCSA was computed as the sum of the individual PCSAs for SOL,
MG, and LG.",none," subject’s right foot was
restrained at the ankle using three 4.5-cm straps which held the foot against
a 10.6-cm foot pedal mounted at 1.83 rad (105° or 15° plantar flexion).

Force was measured 10.6 cm above the bottom of the heel. This distance
was selected to allow the pedal mounted to the force transducer to be
approximately half the length of an average foot (7). This design minimized
contributions from the foot muscles when measuring force output during
plantar flexor MVC.

 Force output was measured using a calibrated force transducer. The transducer was calibrated with loads ranging from 200.2 to 1201.2 N yielding R2 = 0.999",
2837,2,,,,,,
2837,3,,,,,,
2833,1,"The volume of each muscle was calculated using cubic
spline interpolation of the measured ACSA values/slices, expressed relative to % femur length. Femur length
was defined by the number of slices between the proximal greater
trochanter and the knee joint space, multiplied by the slice thickness.
For muscle mass distribution, interpolated ACSA for each individual
muscle at 5% intervals of femur length were used and expressed
relative to ACSAMAX. Total quadriceps volume (QVOL) was the sum
of the individual muscle volumes. QACSAMAX was calculated by the
summation of the maximal ACSA from each individual muscle.","Ultrasonographic images were captured at 10 locations throughout the four constituent muscles of the quadriceps (i.e., 2 or 3 locations per muscle) to comprehensively quantify fascicle length ,FL and alpha of the whole muscle group

Specific sites were over the mid muscle belly (median longitudinal line, i.e., 50% of superficial mediolateral width) at the following percentages of thigh length proximal to the knee joint space: VM 20% (VMDIS) and 40% (VMPRX), VL and VI at 30%(VLDIS, VIDIS), 50% (VLMID, VIMID) and 70% (VLPRX, VIPRX), and RF 55% (RFMID) and 75% (RFPRX).

Muscle fascicle length was used as an index of fiber length and sarcomeres in series, and was measured as the length of the fascicular path between the insertions into the superficial and deep aponeurosis

alpha  and FL were averaged over each individual muscle, before calculating an overall quadriceps mean averaged over the four constituents (Qalpha and QFL).","QACSAMAX was calculated by the summation of the maximal ACSA from each individual muscle

PCSA (PCSA) was calculated per constituent muscle as individual muscle volume divided by FL (mean of sites for that constituent), then summed to give quadriceps physiological cross-sectional area (QPCSA)

To correct for force transmission to the tendon, EFFPCSA was calculated as this theoretically best index of muscular force/torque production. Specifically, individual muscle EFFPCSA was calculated by multiplying PCSA by cosine of mean alpha

Participants reported to the MRI scanner (1.5-T Signa HDxt, GE) The quadriceps muscles [vastus lateralis (VL), vastus intermedius
(VI), vastus medialis (VM), and rectus femoris (RF)] were manually outlined to determine ACSA in every third image (i.e., every 15 mm;","Participants were positioned in an isometric dynamometer with knee and hip angles of 115° and 125° (180°  full extension), respectively.

Surface electromyography (EMG) of the hamstring muscles (bi-
ceps femoris long head and semitendinosus) was recorded using a wireless EMG system

The highest instantaneous torque recorded during any MVC was defined as knee extension MVT 


knee and hip angles of 115° and 125° (180°   full extension), respectively. . An ankle strap (35 mm width reinforced canvas webbing) was placed ~15% of tibial length (distance from lateral malleolus to knee joint space) above the medial malleolus and positioned perpendicular to the tibia and in series with a calibrated S-Beam strain gauge. articipants performed 3– 4 MVCs of the knee extensors for 3– 4 s duration interspersed with  30s rest and were instructed to “push as hard as possible.” A horizontal cursor indicating the greatest torque obtained within the session was displayed for biofeedback, and verbal encouragement was provided during all MVCs. The highest instantaneous torque recorded during any MVC was defined as knee extension MVT.
same for knee flexion MVT ","Tendon force was
calculated as MVT divided by moment arm

sagittal scans of the knee used to assess patella tendon moment arm (PTMA).
Tendon force was calculated as MVT divided by moment arm. 

For maximal voluntary specific tension measurements PTMA length for the MVT specific knee angle was estimated from previously published data fitted with a quadratic function (48) scaled to each participant’s measured moment arm length at 163° as previously (56).

ST was determined first by the calculation ofmaximal tendon force; this was done by correcting knee extension MVT for antagonist torque [HEMG at knee extensor MVT normal-ized to HEMGMAX (i.e., at KF MVT) multiplied by KF MVT] to provide torque from the knee extensors only

assumes a linear relationship between EMG amplitude and
torque

This knee extensor muscle torque was divided by corrected PTMA (see above) and the subsequent muscle force divided by QEFFPCSA to calculate ST

","musculoskeletal imaging measurements
(B-mode ultrasonography and MRI) were performed. Magnetic reso-
nance T1-weighted axial plane images of the thigh were acquired to
measure quadriceps muscle size (QVOL and QACSAMAX) with sag-
ittal scans of the knee used to assess patella tendon moment arm
(PTMA)."
2833,2,,,,,,
2833,3,,,,,,
2821,1,Muscle volume was determined by summing the anatomical CSA of each image times the thickness (10 mm). ,The pennation angle and fascicle length of VL were measured during MVC using an ultrasonic apparatus,"physiological CSA of VL was calculated by dividing muscle volume by fascicle length (e.g., Reeves et al., 2004).



The cross-sectional area (CSA) of the quad-
riceps femoris muscle was measured by magnetic  resonance imaging scans.From the series axial images, outlines of each muscle were traced, and the traced images were transferred to a computer for calculation of the anatomical CSA using digitizing software. 
the physiological CSA of 
VL was calculated by dividing muscle volume by fascicle length","Maximal voluntary isometric strength (MVC) of the knee extensor muscles was determined using an electrical dynamometer

When the voluntary torque peaked, evoked 
twitch contractions were imposed by supramaximal 
electrical stimulations.

The difference between peak twitch force and MVC force (twitch force) was measured. Afterward the twitch imposed on the resting muscle after MVC (control twitch force) was measured. The voluntary activation (%) of the knee extensor muscles was calculated as: {1 – (twitch force during MVC / control twitch force)} * 100 as previously reported (Becker & Awiszus, 2001).


Maximal voluntary isometric strength (MVC) of 
the knee extensor muscles was determined using an 
electrical dynamometer (Myoret, Asics, Japan). The 
participant sat in an adjustable chair with support 
for the back and the hip joint fl exed at an angle of 
80° (full extension = 0°) to standardize the mea-
surements and localize the action to the appropriate 
muscle group. The ankle was fi rmly attached to the lever arm of the dynamometer with a strap and fi xed 
with the knee joint fl exed at an angle of 90°. 
When the voluntary torque peaked, evoked 
twitch contractions were imposed by supramaximal 
electrical stimulations. The stimulating electrodes 
were placed on the skin over the femoral nerve at 
the inguinal region (cathode) and the midbelly of 
the quadriceps muscle (anode).","The knee joint torque (TQ) measured by the dynamometer was converted to muscle force (Fm) by the following equations:
Ft = TQ · MA–1
Fm = k · Ft 
where Ft and k represent tendon force and relative contribution of VL to the quadriceps femoris muscles in terms of physiological cross-sectional area, and MA is the moment arm length of quadriceps femoris muscles at 90° of knee flexion, which is estimated from the thigh length of each participant (Kubo et al., 2001)

The fascicle force (Ff) of VL was calculated by the following equation: 
Ff = Fm · cos P-1
where cos P is the cosine of the angle of pennation of VL



Specific tension of VL was calculated by dividing fascicle force by physiological CSA","One leg was trained using the low load with vascular occlusion (LLO) while the other leg was trained using the high load without vascular occlusion (HL).


In LLO, the proximal portion was compressed by a specially designed elastic belt. The belt contained a small pneumatic bag along its inner surface which could be connected to an electronic pressure gauge so as to monitor the occlusion pressure

In HL the participants performed 4 sets of exercise with an inter-set interval of 1 min
"
2821,2,,,,,,
2821,3,,,,,,
2680,1," The volume of each
of the component QF muscles [vastus lateralis (VL), vastus intermedius (VI), rectus femoris (RF) and vastus medialis (VM)] was calculated from serial axial MRI","Fascicle length (Lf) and pennation angle (hp) of the VL, VI, RF and VM muscles were measured during MVC using ultrasonography along the mid-sagittal plane at
50% of the length of each muscle. ","Dividing each compo-
nent muscle volume by its respective Lf provided the PCSA of the individual muscles

each constituent muscle PCSA was multiplied by the cosine of its respective hp to provide four reduced PCSAs.


Dividing each compo-
nent muscle volume by its respective Lf provided the PCSA of the individual muscles. he sum of these four PCSAs gave the whole QF PCSA (Erskine et al. 2009).

","Antagonist muscle co-activation was estimated by determining the electromyographic (EMG) activity of the biceps femoris muscle during MVC. The interpolated twitch technique was used to determine the level of maximal voluntary QF muscle activation at 90  of knee flexion. This level of activation was applied to the MVC at optimum angle, which, when corrected for antagonist muscle coactivation, provided true maximum torque (TMT)

dPT was determined from sagittal and coronal-plane knee scans
obtained from a magnetic resonance imaging (MRI)
scanner (G-Scan; Esaote Biomedica, Genoa, Italy).","To calculate maximum QF muscle force recorded at the patellar tendon, it was necessary to divide TMT by the patellar tendon moment arm length (dPT). dPT was determined from sagittal and coronal-plane knee scans obtained from a magnetic resonance imaging (MRI)

Corrections were made for the difference between dPT at full extension and optimum joint angle (Baltzopoulos 1995) and between rest and MVC (Tsaopoulos et al. 2006)

A minimum of two
maximal voluntarily isometric leg extensions (MVCs) were performed on the chair of an isokinetic dynamometer (Cybex Norm; Cybex International, New York,
NY, USA) at 70, 80 and 90
 of knee flexion.  Each MVC lasted 2–3 s with a rest interval of 2 min between each contraction. Antagonist
muscle co-activation was estimated by determining the electromyographic (EMG) activity of the biceps femoris muscle during MVC. The interpolated twitch technique was used to determine the level of maximal voluntary QF muscle activation at 90
 of knee flexion. This level
of activation was applied to the MVC at optimum
angle, which, when corrected for antagonist muscle co-activation, provided true maximum torque (TMT). To calculate maximum QF muscle force recorded at the patellar tendon, it was necessary to divide TMT by the patellar tendon moment arm length (dPT).
Maximum patellar tendon
force (Ft) was thus calculated as TMT/dPT.","Maximum voluntary contraction torque, voluntary QF
muscle activation, antagonist muscle co-activation and
patellar tendon moment arm were measured in the right
limb, together with muscle volume and architecture of
each of the four component muscles in the QF muscle
group, to determine in vivo QF specific tension before
and after 9 weeks of intensive leg-extension resistance
training.

Maximum patellar tendon force was subsequently
divided by the sum of these reduced PCSAs to provide
QF specific tension."
2680,2,,,,,,
2680,3,,,,,,
2679,1,"By summing the ACSA of the muscle along its length and then multiplying the sum by the interval of 10 ram, 
muscle volume (Vm) was determined.



MRI, 
Before and after training, series cross-sectional images of the upper extremities were obtained by MRI scans with a body coil

a slice thickness of 10 mm were used with a repetition time of 900 ms and an echo time of 17 ms

From each cross-sectional image of the upper extremity, outlines of the triceps brachii muscle were traced and ACSA was calculated

By summing the ACSA of the muscle along its length and then multiplying the sum by the interval of 10 mm, muscle volume (Vm) was determined","Muscle length was defined as the distance between the most prox- 
imal and the most distal images in which the muscle was visible in the MRI scan.


On the same site where muscle layer thickness was measured, the 
centre of the ultrasonic transducer
Measurements of 
muscle layer thickness and fascicle angles were done both for the 
right and left arms of each subject

Muscle length was defined as the distance between the most proximal and the most distal images in which the muscle was visible.


From the muscle layer thickness and the fascicle angle, the length of fascicles (lf) across the deep and superficial aponeuroses 
was estimated from the following equation: 

If = muscle layer thickness,*sin-1 (alpha) 
where alpha is the fascicle angle of the long head determined by ultrasound.
"," From If and Vm, PCSA of 
the triceps brachii muscle was obtained 
i.e. 
PCSA = Vm /If


MRI scans with a body coil (Signa 1.5T, GE Electronics, USA). Spin-echo, multislice sequences with a slice thickness of 10 mm were used with a repetition time of 900 ms and an echo time of 17 ms. ransverse scans were carried out with an interspaced gap of 0 ram, from the  elbow joint to the head of humerus.
 From If and Vm, PCSA of the triceps brachii muscle was obtained (An et al. 1981), i.e.PCSA = Vm/If

"," the subject was seated on an adjustable chair with support for the back, elbow, shoulders, and hips. The measurement of elbow extension torque was carried out with the subject seated, with the arm supported on the horizontal plane on a padded table. The torque was corrected for gravitational moments of the forearm and the lever arm. Isometric torques were measured twice to three times at the elbow joint angle in the range of 45-70 ° (full extension corresponds to O °) 
and the maximal value was adopted.


Maximal voluntary isometric, concentric, and eccentric strength 
of elbow extensors were measured before and after training using an isokinetic dynamometer

The torque was corrected for gravitational moments of the forearm and the lever arm. Isometric torques were measured twice to three times at the elbow joint 
angle in the range of 45-70 ° (full extension corresponds to O °) and the maximal value was adopted

Concentric and eccentric peak torque was also measured at velocities 30, 90, and 180°-s-1, 
in the range of joint angles between 25 ° and 90 °","TQ/MA


Torque output was divided by the moment arm of the triceps brachii muscles which was derived from the previous study (Kawakami et al. 1994)  correcting for difference in forearm length, and the force acting on the triceps tendon was estimated.

The tendon force was then divided by the PCSA of the total triceps muscle to give specific tension.","oment arm of the triceps brachii tousles which was derived from the previous study (Kawakami et al. 1994), correcting for difference in forearm length

Muscle layer thickness of the triceps brachii muscle was measured with a B-mode ultrasound apparatus A single cross-sectional plane was imaged at 40% of the distance from the lateral epicondyle to the acromion process of the scapula, starting at the lateral epicondyle"
2679,2,,,,,,
2679,3,,,,,,
2677,1,"Volume calculated from accumulated ASCA *MRI cutting distance. 


Series cross-sectional images of the upper extremities were obtained by MRI.Transverse slices of 0.005-m thick were 
taken with a repetition time of 600 ms and an echo time of 15 ms.
The number of cross-sectional images ranged from 45 
to 50, depending on the upper extremity lengths of the subjects.

By summing the ACSA of the muscle along its length and then multiplying the sum by the interval of 0.01 m, muscle volume (Vmu) was determine","Muscle length (lmu) was defined as the dis- 
tance between the most proximal and the most distal images in 
which the muscle was visible


From MRI, Muscle length (lmu) was defined as the distance between the most proximal and the most distal images in which the muscle was visible. 

The pennation angles were obtained from human cadavers (Amis et al. 1979). The If was determined from lmu multiplied by lf/lmu which was derived from the previous study (Edgerton et al. 1986), i.e
lf:lmu ratio from cadavers","eries cross-sectional images of the upper extremities were obtained by MRI with a body coil Transverse slices of 0.005-m thick were taken with a repetition time of 600 ms and an echo time of 15 ms. Acquisition of data was repeated three times and averaged for a single slice. the photographed cross-section MRI 
of the upper extremity, outlines of main elbow flexor muscles [biceps brachii (BIC), brachialis (BRA), brachioradialis (BRD)] 
and elbow extensor muscles [triceps brachii (TRI) were digitized and anatomical CSA (ACSA) of each muscle were 
calculated. Muscle length (lmu) was defined as the dis- 
tance between the most proximal and the most distal images in which the muscle was visible
 By summing the ACSA of the mus- 
cle along its length and then multiplying the sum by the interval of 0.01 m, muscle volume (Vmu) was determined. 
For elbow flexor muscles: PCSA = Vm/Length 
For elbow extensor muscles: PCSA = Vm*Length(-1)*cos 0","Maximal voluntary isometric, concentric, 
and eccentric strength of elbow flexors and extensors was mea- 
sured using an isokinetic dynamometer

Isometric torque was measured three times each at elbow joint angles 0.873, 1.222, 1.571, and 1.920 rad (full extension corresponds to zero), and the maximal value was adopted. The maximal torque was observed at 1.571 rad for flexion and at 1.222 rad for extension. Concentric and eccentric torque was defined as the torque at the specific joint angle (flexion, 1.571 rad; extension, 1.222 rad) at which the maximal isometric torque was observed. Velocities during concentric and eccentric muscle actions were 0.524, 1.571, 
and 3.142 rad.s-1. ","F=TQ/MA


Moment arms of B1C, BRA, BRD, and TRI were measured using MRI. Sagittal slices of 0.005-m thickness were obtained for the upper extremity of the dominant side at intervals of 0.005 m and interspaced gaps of 0 m.
The elbow joint angle was kept at 1.571 rad. Procedures were similar to those of Rugg et aI. (1990) and Spoor and van Leeuwen 
(1992)

As for elbow flexors, averaged values of the moment arms of agonists were calculated (weighed by the relative PCSA to total) and considered the representative moment arm for all the flexors.","Moment arms of B1C, 
BRA, BRD, and TRI were measured using MRI. "
2677,2,,,,,,
2677,3,,,,,,
