CovidenceID,Entry," Number of subjects, N", Gender, Muscle, Muscle Volume (cm3), Fascicle length (cm), PSCA or CSA  (cm2), Voluntary (V) or Stimulated (S) Force measurement, Muscle torque (Nm), Muscle Force (N), Specific tension (N/cm2), Muscle Volume measurement method, Fiber /fascicle length measurement method , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, Specific tension calculation method, Miscellaneous,aveVol (cm3),aveFL (cm),avePCSA (cm2),aveTorque (Nm),aveForce (N),aveST (N/cm2)
4040,3,12 men,M,GL,178.9 SD 40.5,5.5 SD 1.1,32.3 SD 5.8,V,,416.2 SD 56,13.1 SD 2,,,,,"GL force determined using PCSA ratio.

Once the GL component of the tendon force was calculated, this was divided by the cosine of the pennation angle measured during contraction to determine the fascicle force, Ff",Specific force was calculated by dividing GL fascicle force by the PCSA,MA=4.61 ± .32 cm,178.9,5.5,32.3,,416.2,13.1
4040,4,11 boys,M,GL,64.5 SD 18.9,4.2 SD 0.8,15.5 SD 3.2,V,,242.5 SD 51.6,15.9 SD 2.7,,,,,,,MA=3.46 ± 0.2 cm,64.5,4.2,15.5,,242.5,15.9
4040,5,,,,,,,,,,,,,,,,,,,,,,,
4040,6,,,,,,,,,,,,,,,,,,,,,,,
4040,7,,,,,,,,,,,,,,,,,,,,,,,
4040,8,,,,,,,,,,,,,,,,,,,,,,,
4040,9,,,,,,,,,,,,,,,,,,,,,,,
4040,10,,,,,,,,,,,,,,,,,,,,,,,
4040,11,,,,,,,,,,,,,,,,,,,,,,,
2938,1,"12,young",m,PF,,,,mixed,179.9 SD 40.47,3864.5 SD 524.7,,"MRI, sum of GL ACSA

Serial axial plane magnetic resonance imaging (MRI) scans were acquired along the length of the GL by using a fixed 0.2-T MRI scanner. In total, four scans were performed along the length of the GL consisting of seven contiguous axial slices (slice thickness * 8 mm
and gap * 2 mm). To ensure that each section was reconstructed
accurately, reference markers were placed along the leg to coincide
with each 7-cm section","Ultrasound during MVC + doublet stim

Fiber Lf and were measured using B-Mode, real time ultrasonograph. The head of the probe was held perpendicular to the dermal surface to provide an image including both superficial and deep aponeuroses and a number of clearly visible fasciculi that could be followed between the aponeuroses. In total, at least six fasciculi were analyzed per participant. Lf was defined as the length of the fascicle between the deep and superficial aponeuroses","GL Vol (cm3) to
Lf (cm)."," PF MVC torque + DF torque + superimposed
doublet torque


Isometric plantar flexion (PF) MVC torque was recorded with the subjects lying prone, the left foot secured to the foot adapter of an isokinetic dynamometer. Subjects were positioned with the knee at full extension and the lateral malleolus aligned with the axis of rotation identified on the dynamometer. Before MVC, the participants performed three sub-
maximal isokinetic plantar flexion and dorsiflexion contractions as a
warm up. Two isometric maximal voluntary plantar flexion contrac-
tions (MVC) were performed at an ankle joint angle of  20° (the foot in dorsiflexion), 2 min separated each MVC attempt. The foot was placed at  20° as this has previously been shown to be the optimum fascicle length (Lf) within the physiological range of the gastrocnemius muscle. ","In vivo MRI was performed to determine
moment arm length of the Achilles tendon ankle at rest.
F=TQ/AM


tendonForce=MVC torque/MA

GLforce=tendonForce*(GL PCSA/total PCSA)

GL_Ff=GLforce/cos (alpha)",GL_Ff/PCSA,,,,,179.9,3864.5,
2938,2,"19,old",m,PF,,,,,107 SD 19.1,2422.5 SD 450.5,,,,,,,,,,,,107.0,2422.5,
2938,3,"12,young",m,GL,185.6 SD 38.8,5.5 SD 1.1,32.3 SD 5.8,,,416.2 SD 56,13.1 SD 2,,,,,,,,185.6,5.5,32.3,,416.2,13.1
2938,4,"19,old",m,GL,133.3 SD 23.6,5.0 SD 0.8,27.1 SD 6.1,,,258.2 SD 48.5,9.2 SD 1.9,,,,,,,,133.3,5.0,27.1,,258.2,9.2
2938,5,,,,,,,,,,,,,,,,,,,,,,,
2938,6,,,,,,,,,,,,,,,,,,,,,,,
2938,7,,,,,,,,,,,,,,,,,,,,,,,
2938,8,,,,,,,,,,,,,,,,,,,,,,,
2938,9,,,,,,,,,,,,,,,,,,,,,,,
2938,10,,,,,,,,,,,,,,,,,,,,,,,
2938,11,,,,,,,,,,,,,,,,,,,,,,,
2820,1,4,M,BIC,,,11.6,V,,,35.6,,,"ACSA measured from CT

an increase of 34% of the cross-sectional area of the flexed arm


The scanning (EMI-scanner 1010) was performed at the 
site of biopsy sampling with the subject in the supine 
position, resting on one side with the arm abducted approximately 160"" and the elbow extended. Data obtained  from a scan was presented on a TV-viewer from which a polarioid print was taken (Fig. 1). The cross-sectional area 
of the brachial biceps muscle was measured planimetrically.","The subject was sitting by the side of the apparatus with the upper arm abducted at right angles to the body, and in a line with the shoulder. The  subject grasped with supinated hand a handle which was  connected to one of the reels of the light flywheel through 
a cable. The movement was performed in a vertical plane.  Force was registered through a strain gauge inserted in the  cable.","contribution of 34% from this muscle to MVC in elbow flexion (Hansen & Lindhard 1923); 2) a ratio of 1: 7 between ""force arm"" (distance from center of axis of rotation of the elbow joint at the condylus humeri and the point at which the brachial biceps muscle attaches tuberositas radii) and ""resistance arm"" (distance from the condylus humeri to handgrap) (Wilkie 1950); 3) ","specific tension of the brachial biceps muscle was calculated from 1) a contribution of 34% from this muscle to MVC in elbow flexion (Hansen & Lindhard 1923); 2) a ratio of 1: 7 between ""force arm"" (distance from center of axis of rotation of the elbow joint at the condylus humeri and the point at which the brachial biceps muscle attaches tuberositas radii) and ""resistance arm"" (distance from the condylus humeri to handgrap) (Wilkie 1950); 3) an increase of 34% of the cross-sectional area of the flexed arm",,,,11.6,,,35.6
2820,2,4,F,BIC,,,8.7,,,,29.9,,,,,,,,,,8.7,,,29.9
2820,3,,,,,,,,,,,,,,,,,,,,,,,
2820,4,,,,,,,,,,,,,,,,,,,,,,,
2820,5,,,,,,,,,,,,,,,,,,,,,,,
2820,6,,,,,,,,,,,,,,,,,,,,,,,
2820,7,,,,,,,,,,,,,,,,,,,,,,,
2820,8,,,,,,,,,,,,,,,,,,,,,,,
2820,9,,,,,,,,,,,,,,,,,,,,,,,
2820,10,,,,,,,,,,,,,,,,,,,,,,,
2820,11,,,,,,,,,,,,,,,,,,,,,,,
2745,1,"11, Experimental, Full ROM, Pre Training",m,VL,724.8 SD 81.1,,86.6 SD 11.6,Mixed,,2710 SD 470,31.8 SD 6.8,"VL_volume (cm3) = ∑ ACSA × slice thickness

Axial plane scans of the thighs were taken using a 1.5-T whole-body magnetic resonance imaging (MRI) scanner.
VL=ACSA accumulation * slice thickness","Measured using ultrasound at MVC

Vastus lateralis muscle architecture was assessed at rest 
using B-mode ultrasound imaging. Muscle fascicle length (FL) was defined as the length 
of the fascicular path between the superficial and deep aponeuroses","Vol_VL/lf_optimium

ACSA by MRI scan. PCSA = Vol/length","Torque measured, corrected for activation and coactivation.


Subjects were seated on the dynamometer chair and firmly strapped at the hip, at the chest and over the 
thigh to minimize extraneous movement. The knee center  of rotation was carefully aligned with the dynamometer axis of rotation, and the lever arm of the dynamometer 
was firmly attached to the lower leg with inextensible  straps. subjects were instructed to perform 1-rapid maximal voluntary isometric knee extension contraction (MVC) and to maintain this 
maximal effort for ≈2 s. ","TQ/MA. MA acquired from MRI.

Fpt=Torque_corrected/MA_corrected

F_VL= Fpt*VL_PCSA_ratio

F_VL_fascicle=F_VL/cos(alpha)",F_VL_fascicle/PCSA,,724.8,,86.6,,2710.0,31.8
2745,2,"11, Experimental, Part ROM, pre Training",m,VL,715.9 SD 83.2,,84.9 SD 10.5,,,2740 SD 590,32.6 SD 7.4,,,,,,,,715.9,,84.9,,2740.0,32.6
2745,3,"8, control, pre Training",m,VL,,,87.2 SD 9.1,,,2720 SD 320,31.6 SD 4.9,,,,,,,,,,87.2,,2720.0,31.6
2745,4,"11, Experimental, Full ROM, post Training",m,VL,780.0 SD 87.8,,88.7 SD 10.9,,,3510 SD 530,40.0 SD 6.7,,,,,,,,780.0,,88.7,,3510.0,40.0
2745,5,"11, Experimental, Part ROM, post Training",m,VL,763.7 SD 86.4,,91.5 SD 10.7,,,3290 SD 530,36.2 SD 5.5,,,,,,,,763.7,,91.5,,3290.0,36.2
2745,6,"8, control, post Training",m,VL,,,86.8 SD 8.9,,,2640 SD 430,30.5 SD 4.7,,,,,,,,,,86.8,,2640.0,30.5
2745,7,"11, Experimental, Full ROM, pre Training",m,QF,,,,,290.7 SD 45,7380 SD 1220,,,,,,,,"post training QF MVC
383.8 ± 56.1
post training QF patella force
9440 ± 1330",,,,290.7,7380.0,
2745,8,"11, Experimental, Part ROM, pre Training",m,QF,,,,,292.3 SD 54.6,7460 SD 1550,,,,,,,,"post training QF MVC
365.4 ± 44.9
post training QF patella force
8780 ± 1330",,,,292.3,7460.0,
2745,9,"8, control, pre Training",m,QF,,,,,298 SD 28.9,7290 SD 770,,,,,,,,"post training QF MVC
296 ± 30.2
post training QF patella force
7040 ± 1000",,,,298.0,7290.0,
2745,10,,,,,,,,,,,,,,,,,,,,,,,
2745,11,,,,,,,,,,,,,,,,,,,,,,,
2672,1,"7, RES",Mixed,QF,900 SD 200,5.6 SD 0.3,145 SD 33,S,166,3532,25 SD 6,"MRI, measured for activated portion only

Muscle volume (cm3) was calculated
by multiplying the activated CSA (cm2) 
in each
slice x 2 cm (slice thickness + interslice space). The slices
were then added together to calculate the volume of acti-
vated tissue.","VL fiber length :muscle length ratio from lit.= 0.23

Adjustments were made to account for fiber length during isometric actions at different percentages of MVIT","[muscle volume * COS (pennation angle_VL)]/fiber length_VL

The PCSA of mQF was calculated as follows.
PCSA = [muscle volume x COS (pennation angle)]/
Wber length (Edgerton et al. 1990; Fukunaga et al. 1992;
Akima et al. 2000). ","Torque measured for 4 stim protocols , submax.

","lit value of patella moment arm=0.047m
 A moment arm length of
0.047 m was used to correct torque to force. Dividing the
torque by the moment arm provided the force applied by
the knee extensors to the tendon ","Force/ active PCSA

Specific tension was calculated by dividing the torque
(Nm) obtained for the Wrst contraction of the four different SNMES protocols by the patellar tendon moment
arm length of the mQF. ","the moment arm was derived
from cadavers and knee joints of able bodies, 0.04 m, at
the same knee joint angle used in our study (Baltzopou-
los 1995; Wickiewicz et al. 1983, 1984).",900.0,5.6,145.0,166.0,3532.0,25.0
2672,2,"7,PD",,,500 SD 300,6 SD 0.3,83 SD 47,S,78,1660,20 SD 7,,,,,,,,500.0,6.0,83.0,78.0,1660.0,20.0
2672,3,"7, FREQ",,,1000 SD 250,5.7 SD 0.3,171 SD 35,S,138,2936,17 SD 4,,,,,,,,1000.0,5.7,171.0,138.0,2936.0,17.0
2672,4,"7, AMP",,,600 SD 300,5.8 SD 0.3,101 SD 55,S,110,2340,26 SD 8,,,,,,,,600.0,5.8,101.0,110.0,2340.0,26.0
2672,5,"7, Total",,,1900 SD 400,7.1 SD 0.3,253 SD 49,S,,,20 SD 3,,,,,,,,1900.0,7.1,253.0,,,20.0
2672,6,,,,,,,,,,,,,,,,,,,,,,,
2672,7,,,,,,,,,,,,,,,,,,,,,,,
2672,8,,,,,,,,,,,,,,,,,,,,,,,
2672,9,,,,,,,,,,,,,,,,,,,,,,,
2672,10,,,,,,,,,,,,,,,,,,,,,,,
2672,11,,,,,,,,,,,,,,,,,,,,,,,
