CovidenceID,aveAge (years),aveHeight (cm),aveWeight (kg)," Number of subjects, N", Muscle,Type,Gender,Voluntary (V) or Stimulated (S),aveVol (cm3),aveFL (cm),avePCSA (cm2),aveTorque (Nm),aveForce (N),aveST (N/cm2),Muscle volume method,Fascicle length method,Pennation angle method,CSA,PCSA method,Torque method,Moment arm method,Force method,Specific Tension method,Overall note, Miscellaneous,Score,Age type,Training type,Muscle,name,fast/slow,Joint type,antigrav/grav,Joint action,secondary joint action,anatomical location,Torque-Force method,Torque-Force method_score,Moment arm method_score,Muscle volume method_score,Fascicle length method_score,Pennation angle method_score,PCSA method_score,Specific Tension method_score,newScore,Covidence #,Study ID,Title_y,Country,Study design,Authors,Year,Journal
4128,30,,,9,BRD,YNG ,F,V,,,,939.5,,50.519,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,,(Muscle vol/Fiber length)*cos(Î¸),max MVC,"MRI at rest, JA correction",Tendon Force using relative (PCSA x MA),Force/rPCSA,,,7,YNG,Normal,BRD,Brachioradialis,60/40,monoarticular,non-antigravity,elbow flexor,,Upper arm,max MVC Tendon Force using relative (PCSA x MA),6,2,4,2,1,0,0,15,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB
4127,24.3,172.8,67.5,30,EF,YNG,M,V,257,,18.2,61.1,265,14.7,none,none,none,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,"The TQ was converted to F by dividing it by the forearm
length (the distance from the head of radius to the processus
styloideus) of each subject",,4,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,max MVC External Force (Limb Force),3,2,0,0,0,4,0,9,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing
4127,23.4,161.3,53.6,22,EF,YNG,F,V,139,,10.3,31.9,150,14.7,none,none,none,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,,,4,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,max MVC External Force (Limb Force),3,2,0,0,0,4,0,9,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing
4127,68.5,165.9,65.2,19,EF,OLD,M,V,207,,16.2,48.9,216,13.4,none,none,none,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,,,4,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,max MVC External Force (Limb Force),3,2,0,0,0,4,0,9,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing
4127,67.5,152.8,51.6,32,EF,OLD,F,V,114,,9.7,26.2,127,13.1,none,none,none,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,,,4,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,max MVC External Force (Limb Force),3,2,0,0,0,4,0,9,4127,Akagi 2009,Muscle volume compared to cross-sectional area is more appropriate for evaluating muscle strength in young and elderly individuals, Japan,Non-randomised experimental study,"Akagi, Ryota; Takai, Yohei; Ohta, Megumi; Kanehisa, Hiroaki; Kawakami, Yasuo; Fukunaga, Tetsuo",2009,Age Ageing
2995,22.6,177,76,20,EE,YNG,M,V,444,,53,,292,5.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",none,External Force (Limb Force),Force/rPCSA,,,3,YNG,Normal,EE,Elbow Extensors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,"max MVC + ITT, Activation & Coactivation correction External Force (Limb Force)",9,0,4,2,1,0,0,16,2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985)
2995,22.6,177,76,20,EF,YNG,M,V,,,20.2,,,16.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,none,PCSA,Muscle vol/Fiber length,"max MVC + ITT, Activation & Coactivation correction",none,External Force (Limb Force),Force/PCSA,,,1,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,"max MVC + ITT, Activation & Coactivation correction External Force (Limb Force)",9,0,4,2,0,0,0,15,2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985)
2995,22.6,177,76,20,EE,YNG,M,V,,,28.3,,,10.3,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",none,External Force (Limb Force),Force/rPCSA,,,3,YNG,Normal,EE,Elbow Extensors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,"max MVC + ITT, Activation & Coactivation correction External Force (Limb Force)",9,0,4,2,1,0,0,16,2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985)
2995,81,176,80,13,EF,OLD,M,V,297,,22.9,,241,10.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,none,PCSA,Muscle vol/Fiber length,"max MVC + ITT, Activation & Coactivation correction",none,External Force (Limb Force),Force/PCSA,,,1,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,"max MVC + ITT, Activation & Coactivation correction External Force (Limb Force)",9,0,4,2,0,0,0,15,2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985)
2995,81,176,80,13,EE,OLD,M,V,323,,38.1,,197,5.1,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",none,External Force (Limb Force),Force/rPCSA,,,3,OLD,Normal,EE,Elbow Extensors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,"max MVC + ITT, Activation & Coactivation correction External Force (Limb Force)",9,0,4,2,1,0,0,16,2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985)
2995,81,176,80,13,EF,OLD,M,V,,,16.9,,,14.3,"MRI, CSA x slice interval",MRI muscle length x literature ratio,none,PCSA,Muscle vol/Fiber length,"max MVC + ITT, Activation & Coactivation correction",none,External Force (Limb Force),Force/PCSA,,,1,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,"max MVC + ITT, Activation & Coactivation correction External Force (Limb Force)",9,0,4,2,0,0,0,15,2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985)
2995,81,176,80,13,EE,OLD,M,V,,,20.9,,,9.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",none,External Force (Limb Force),Force/rPCSA,,,3,OLD,Normal,EE,Elbow Extensors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,"max MVC + ITT, Activation & Coactivation correction External Force (Limb Force)",9,0,4,2,1,0,0,16,2995,Klein 2001,"Normalized force, activation, and coactivation in the arm muscles of young and old men.",Canada,Cross sectional study,Klein CS; Rice CL; Marsh GD,2001,J Appl Physiol (1985)
2837,36,165,67.6,32,TS,MID UT,F,,628,,291.2,,568.2,1.97,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),none,none,External Force (Limb Force),Force/rPCSA,"This design minimized contributions from the foot muscles when
measuring force output during plantar flexor MVC",,3,MID,Untrained,TS,Triceps Surae,Slow,mixed,antigravity,ankle plantar flexor,,Lower leg,none External Force (Limb Force),5,0,4,2,1,0,0,12,2837,Bamman 2000,Evaluation of the strength-size relationship in vivo using various muscle size indices.,United States,Cross sectional study,Bamman MM; Newcomer BR; Larson-Meyer DE; Weinsier RL; Hunter GR,2000,Med Sci Sports Exerc
2837,34,165,55.6,7,TS,YNG T,F,,730.9,,337.2,,637.7,1.87,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),none,none,External Force (Limb Force),Force/rPCSA,,,3,YNG,Trained,TS,Triceps Surae,Slow,mixed,antigravity,ankle plantar flexor,,Lower leg,none External Force (Limb Force),5,0,4,2,1,0,0,12,2837,Bamman 2000,Evaluation of the strength-size relationship in vivo using various muscle size indices.,United States,Cross sectional study,Bamman MM; Newcomer BR; Larson-Meyer DE; Weinsier RL; Hunter GR,2000,Med Sci Sports Exerc
2833,25,176,73,52,QF,YNG UT,M,V,1838.2,10.64,174.4,,5576,33.3,"MRI, CSA x slice interval",US at rest,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC, Coactivation correction","MRI at rest, JA correction",Tendon Force ,Force/rPCSA,"There was 8% greater ST of the quadriceps in LTT
than UT (33.3   4.5 NÂ·cm2 vs 36.1   5.3 NÂ·cm2; P   0.04,
ES   0.6; Fig. 4A) when accounting for antagonist coactivation,
corrected PTMA, and QEFFPCSA",,3,YNG,Untrained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC, Coactivation correction Tendon Force ",10,2,4,3,2,0,0,21,2833,Maden-Wilkinson 2020,"What makes long-term resistance-trained individuals so strong? A comparison of skeletal muscle morphology, architecture, and joint mechanics.",UK,Non-randomised experimental study,Maden-Wilkinson TM; Balshaw TG; Massey GJ; Folland JP,2020,J Appl Physiol (1985)
2833,22,183,91,16,QF,YNG T,M,V,2881.9,11.8,245.7,,8564,36.1,"MRI, CSA x slice interval",US at rest,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC, Coactivation correction","MRI at rest, JA correction",Tendon Force ,Force/rPCSA,,,3,YNG,Trained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC, Coactivation correction Tendon Force ",10,2,4,3,2,0,0,21,2833,Maden-Wilkinson 2020,"What makes long-term resistance-trained individuals so strong? A comparison of skeletal muscle morphology, architecture, and joint mechanics.",UK,Non-randomised experimental study,Maden-Wilkinson TM; Balshaw TG; Massey GJ; Folland JP,2020,J Appl Physiol (1985)
2821,25,172,73,9,VL,YNG UT,M,V,1892,8.31,75.6,224,,23.1,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,"Ft and k represent tendon force and relative
contribution of VL to the quadriceps femoris muscles
in terms of physiological cross-sectional area, and
MA is the moment arm length of quadriceps femoris
muscles at 90Â° of knee fl exion, which is estimated
from the thigh length of each participant (Kubo et
al., 2001)",co activation of BF measured,1,YNG,Untrained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,3,4,4,2,0,0,22,2821,Kubo 2006,Effects of low-load resistance training with vascular occlusion on the mechanical properties of muscle and tendon., Japan,Other: within-subjects design with a crossover element and a pre-test/post-test structure,Kubo K; Komuro T; Ishiguro N; Tsunoda N; Sato Y; Ishii N; Kanehisa H; Fukunaga T,2006,J Appl Biomech
2821,25,172,73,9,VL,YNG T,M,V,2032,8.54,81.3,241,,23.9,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,,,1,YNG,Trained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,3,4,4,2,0,0,22,2821,Kubo 2006,Effects of low-load resistance training with vascular occlusion on the mechanical properties of muscle and tendon., Japan,Other: within-subjects design with a crossover element and a pre-test/post-test structure,Kubo K; Komuro T; Ishiguro N; Tsunoda N; Sato Y; Ishii N; Kanehisa H; Fukunaga T,2006,J Appl Biomech
2821,25,172,73,9,VL,YNG UT,M,V,1878,8.42,74.5,225,,23.8,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,,,1,YNG,Untrained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,3,4,4,2,0,0,22,2821,Kubo 2006,Effects of low-load resistance training with vascular occlusion on the mechanical properties of muscle and tendon., Japan,Other: within-subjects design with a crossover element and a pre-test/post-test structure,Kubo K; Komuro T; Ishiguro N; Tsunoda N; Sato Y; Ishii N; Kanehisa H; Fukunaga T,2006,J Appl Biomech
2821,25,172,73,9,VL,YNG T,M,V,2011,8.61,79,262,,25.1,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,,,1,YNG,Trained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,3,4,4,2,0,0,22,2821,Kubo 2006,Effects of low-load resistance training with vascular occlusion on the mechanical properties of muscle and tendon., Japan,Other: within-subjects design with a crossover element and a pre-test/post-test structure,Kubo K; Komuro T; Ishiguro N; Tsunoda N; Sato Y; Ishii N; Kanehisa H; Fukunaga T,2006,J Appl Biomech
2664,20,178,74,42,QF,YNG UT,M,V,2084,8.9,238,248,5809,25.9,"MRI, ACSA & literature regression relationship",US at MVC rep muscle,measured PA representative muscle,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force ,Force/rPCSA,VL lf and pennation assumed for QF (Erskine method2), Method 2 ,1,YNG,Untrained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC + ITT, Activation & Coactivation correction Tendon Force ",12,2,1,2,1,0,0,18,2664,Erskine 2011,What causes in vivo muscle specific tension to increase following resistance training?,UK,Non-randomised experimental study,Erskine RM; Jones DA; Maffulli N; Williams AG; Stewart CE; Degens H,2011,Exp Physiol
2664,20,178,178,42,QF,YNG T,M,V,2200,8.9,253,315,7152,30.3,"MRI, ACSA & literature regression relationship",US at MVC rep muscle,measured PA representative muscle,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force ,Force/rPCSA,, Method 2 ,1,YNG,Trained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC + ITT, Activation & Coactivation correction Tendon Force ",12,2,1,2,1,0,0,18,2664,Erskine 2011,What causes in vivo muscle specific tension to increase following resistance training?,UK,Non-randomised experimental study,Erskine RM; Jones DA; Maffulli N; Williams AG; Stewart CE; Degens H,2011,Exp Physiol
