CovidenceID,aveAge (years),aveHeight (cm),aveWeight (kg)," Number of subjects, N", Muscle,Type,Gender,Voluntary (V) or Stimulated (S),aveVol (cm3),aveFL (cm),avePCSA (cm2),aveTorque (Nm),aveForce (N),aveST (N/cm2),Muscle volume method,Fascicle length method,Pennation angle method,CSA,PCSA method,Torque method,Moment arm method,Force method,Specific Tension method,Overall note, Miscellaneous,Score,Age type,Training type,Muscle,name,fast/slow,Joint type,antigrav/grav,Joint action,secondary joint action,anatomical location,newScore
4127,24.3,172.8,67.5,30,EF,YNG,M,V,257,,18.2,61.1,265,14.7,"MRI, CSA x slice interval",,,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,"The TQ was converted to F by dividing it by the forearm
length (the distance from the head of radius to the processus
styloideus) of each subject",,4,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,18
4127,23.4,161.3,53.6,22,EF,YNG,F,V,139,,10.3,31.9,150,14.7,"MRI, CSA x slice interval",,,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,,,4,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,15
4127,68.5,165.9,65.2,19,EF,OLD,M,V,207,,16.2,48.9,216,13.4,"MRI, CSA x slice interval",,,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,,,4,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,18
4127,67.5,152.8,51.6,32,EF,OLD,F,V,114,,9.7,26.2,127,13.1,"MRI, CSA x slice interval",,,ACSA,"MRI, max ACSA",max MVC,Limb length,External Force (Limb Force),Force/ACSA,,,4,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,15
2995,22.6,177,76,20,EF,YNG,M,V,375,,28.2,,331,11.8,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,ACSA,Muscle vol/Fiber length,"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/PCSA,"The biceps brachii, brachialis, and brachioradialis muscles were traced in each image and together
made up the EFs. The triceps brachii and anconeus were traced and together made up the EEs. The pronator teres and
the extensor carpi radialis longus muscles, which together generate 15% of EF torque (38), were not included in the EF
volume because they were not clearly visible in the images over their entire length. The brachioradialis, extensor carpi
radialis longus, and brevis muscles were traced as a group. The brachioradialis volume was then estimated to be 39% of
the combined volume of these three muscles (4). The length of the brachioradialis, however, could be determined because
the origin and insertion regions were clearly evident in all images. The coracobrachialis muscle was traced as part of the
biceps brachii because these two muscles could not be separated convincingly throughout their entire length. In both
young and old cadavers, the coracobrachialis is 23% of the weight of the biceps brachii plus the coracobrachialis (47). To
exclude the coracobrachialis from the EF volume, the biceps brachii volume was reduced by 23% in all subjects. No data
are available for the fiber length-to-muscle length ratio in the anconeus, so it was assumed to be the same as the biceps
brachii because the fibers run parallel in both muscles ",Did not claim specific tension. not all EE or EF muscles included in volume/length measurement,1,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,18
2995,22.6,177,76,20,EE,YNG,M,V,444,,53,,292,5.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/rPCSA,,,3,YNG,Normal,EE,Elbow Extendors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,15
2995,22.6,177,76,20,EF,YNG,M,V,,,20.2,,,16.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,PCSA,Muscle vol/Fiber length,"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/PCSA,,,1,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,18
2995,22.6,177,76,20,EE,YNG,M,V,,,28.3,,,10.3,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/rPCSA,,,3,YNG,Normal,EE,Elbow Extendors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,11
2995,81,176,80,13,EF,OLD,M,V,297,,22.9,,241,10.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,PCSA,Muscle vol/Fiber length,"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/PCSA,,,1,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,11
2995,81,176,80,13,EE,OLD,M,V,323,,38.1,,197,5.1,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/rPCSA,,,3,OLD,Normal,EE,Elbow Extendors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,24
2995,81,176,80,13,EF,OLD,M,V,,,16.9,,,14.3,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,PCSA,Muscle vol/Fiber length,"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/PCSA,,,1,OLD,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,24
2995,81,176,80,13,EE,OLD,M,V,,,20.9,,,9.5,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",,External Force (Limb Force),Force/rPCSA,,,3,OLD,Normal,EE,Elbow Extendors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,26
2837,36,165,67.6,32,TS,MID UT,F,,628,0.06,291.2,,568.2,1.97,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),,,External Force (Limb Force),Force/rPCSA,"This design minimized contributions from the foot muscles when
measuring force output during plantar flexor MVC",,3,MID,Untrained,TS,Triceps Surae,Slow,mixed,antigravity,ankle plantar flexor,,Lower leg,26
2837,36,165,67.6,32,TS,MID UT,F,,628,,39.9,,568.2,14.3,,,Literature value,ACSA,"MRI, max ACSA",,,External Force (Limb Force),Force/ACSA,,,3,MID,Untrained,TS,Triceps Surae,Slow,mixed,antigravity,ankle plantar flexor,,Lower leg,26
2837,34,165,55.6,7,TS,YNG T,F,,730.9,,337.2,,637.7,1.87,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),,,External Force (Limb Force),Force/rPCSA,,,3,YNG,Trained,TS,Triceps Surae,Slow,mixed,antigravity,ankle plantar flexor,,Lower leg,26
2837,34,165,55.6,7,TS,YNG T,F,,730.9,,44.7,,637.7,14,,,Literature value,ACSA,"MRI, max ACSA",,,External Force (Limb Force),Force/ACSA,,,3,YNG,Trained,TS,Triceps Surae,Slow,mixed,antigravity,ankle plantar flexor,,Lower leg,27
2833,25,176,73,52,QF,YNG UT,M,V,1838.2,106.4,174.4,,5576,33.3,"MRI, CSA x slice interval",US at rest,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC, Coactivation correction","MRI at rest, JA correction",Tendon Force ,Force/rPCSA,"There was 8% greater ST of the quadriceps in LTT
than UT (33.3   4.5 N·cm2 vs 36.1   5.3 N·cm2; P   0.04,
ES   0.6; Fig. 4A) when accounting for antagonist coactivation,
corrected PTMA, and QEFFPCSA",,3,YNG,Untrained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,27
2833,25,176,73,52,VM,YNG UT,M,,441.4,104,,,,,,,,,,,,,,,,0,YNG,Untrained,VM,Vastus Medialis,Slow,monoarticular,antigravity,knee extensor,,Thigh,17
2833,25,176,73,52,VI,YNG UT,M,,546.9,100.9,,,,,,,,,,,,,,,,0,YNG,Untrained,VI,Vastus Intermedius,60/40,monoarticular,antigravity,knee extensor,,Thigh,17
2833,25,176,73,52,VL,YNG UT,M,,609.8,111.1,,,,,,,,,,,,,,,,0,YNG,Untrained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,17
2833,25,176,73,52,RF,YNG UT,M,,240.2,109,,,,,,,,,,,,,,,,0,YNG,Untrained,RF,Rectus Femoris,60/40,biarticular,antigravity,knee extensor,hip flexor,Thigh,17
2833,22,183,91,16,QF,YNG T,M,V,2881.9,118,245.7,,8564,36.1,"MRI, CSA x slice interval",US at rest,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC, Coactivation correction","MRI at rest, JA correction",Tendon Force ,Force/rPCSA,,,3,YNG,Trained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,20
2833,22,183,91,16,VM,YNG T,M,,691,117.1,,,,,,,,,,,,,,,,0,YNG,Trained,VM,Vastus Medialis,Slow,monoarticular,antigravity,knee extensor,,Thigh,20
2833,22,183,91,16,VI,YNG T,M,,846.4,107.5,,,,,,,,,,,,,,,,0,YNG,Trained,VI,Vastus Intermedius,60/40,monoarticular,antigravity,knee extensor,,Thigh,20
2833,22,183,91,16,VL,YNG T,M,,964.3,125.7,,,,,,,,,,,,,,,,0,YNG,Trained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,28
2833,22,183,91,16,RF,YNG T,M,,374.5,121.6,,,,,,,,,,,,,,,,0,YNG,Trained,RF,Rectus Femoris,60/40,biarticular,antigravity,knee extensor,hip flexor,Thigh,28
2821,25,172,73,9,VL,YNG UT,M,V,1892,8.31,75.6,224,,23.1,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,"Ft and k represent tendon force and relative
contribution of VL to the quadriceps femoris muscles
in terms of physiological cross-sectional area, and
MA is the moment arm length of quadriceps femoris
muscles at 90° of knee fl exion, which is estimated
from the thigh length of each participant (Kubo et
al., 2001)",co activation of BF measured,1,YNG,Untrained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,19
2821,25,172,73,9,VL,YNG T,M,V,2032,8.54,81.3,241,,23.9,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,,,1,YNG,Trained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,19
2821,25,172,73,9,VL,YNG UT,M,V,1878,8.42,74.5,225,,23.8,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,,,1,YNG,Untrained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,26
2821,25,172,73,9,VL,YNG T,M,V,2011,8.61,79,262,,25.1,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",US at MVC JA,Tendon Force using relative PCSA,Force/rPCSA,,,1,YNG,Trained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,21
2680,20.1,176.9,76.1,17,QF,YNG UT,M,V,2074,,231,269,6296,29.5,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,method 1 of Erksine 2009,,1,YNG,Untrained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,26
2680,20.1,176.9,76.1,17,VL,YNG UT,M,,677,8.8,,,,,,,,,,,,,,,pennation angle: 16.2 ± 2.4,0,YNG,Untrained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,21
2680,20.1,176.9,76.1,17,VI,YNG UT,M,,586,10.3,,,,,,,,,,,,,,,pennation angle: 13.2 ± 3.2,0,YNG,Untrained,VI,Vastus Intermedius,60/40,monoarticular,antigravity,knee extensor,,Thigh,27
2680,20.1,176.9,76.1,17,RF,YNG UT,M,,345,7.2,,,,,,,,,,,,,,,pennation angle: 26.5 ± 4.6,0,YNG,Untrained,RF,Rectus Femoris,60/40,biarticular,antigravity,knee extensor,hip flexor,Thigh,19
2680,20.1,176.9,76.1,17,VM,YNG UT,M,,466,10.3,,,,,,,,,,,,,,,pennation angle: 24.5 ± 6.8,0,YNG,Untrained,VM,Vastus Medialis,Slow,monoarticular,antigravity,knee extensor,,Thigh,28
2680,20.1,176.9,76.1,17,QF,YNG T,M,V,2188,,245,350,8023,35.5,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,,,1,YNG,Trained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,28
2680,20.1,176.9,76.1,17,VL,YNG T,M,,704,8.8,,,,,,,,,,,,,,,pennation angle: 16.9 ± 2.4,0,YNG,Trained,VL,Vastus Lateralis,Slow,monoarticular,antigravity,knee extensor,,Thigh,28
2680,20.1,176.9,76.1,17,VI,YNG T,M,,609,10.4,,,,,,,,,,,,,,,pennation angle: 13.8 ± 3.1,0,YNG,Trained,VI,Vastus Intermedius,60/40,monoarticular,antigravity,knee extensor,,Thigh,28
2680,20.1,176.9,76.1,17,RF,YNG T,M,,375,7.4,,,,,,,,,,,,,,,pennation angle: 27.0 ± 4.2,0,YNG,Trained,RF,Rectus Femoris,60/40,biarticular,antigravity,knee extensor,hip flexor,Thigh,20
2680,20.1,176.9,76.1,17,VM,YNG T,M,,500,10.3,,,,,,,,,,,,,,,pennation angle: 24.9 ± 7.4,0,YNG,Trained,VM,Vastus Medialis,Slow,monoarticular,antigravity,knee extensor,,Thigh,20
2677,29,171,63,4,BIC,YNG ,M,V,181,20,9.1,28.2,660.3,72.3,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,PCSA,Muscle vol/Fiber length,max MVC,MRI at MVC JA,Tendon Force using relative (PCSA x MA),Force/PCSA,,The relative contribution of each elbow flexor muscle to the flexion torque was calculated by PCSA times the moment arm (An et al. 1981; Edgerton et al. 1986). The BRA had a greater contribution (47%) than that of BIC (34%) and BRD (19%),3,YNG,Normal,BIC,Biceps Brachii,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,20
2677,29,171,63,4,BRA,YNG ,M,V,152,12,12.7,20.4,910.9,72.3,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,PCSA,Muscle vol/Fiber length,max MVC,MRI at MVC JA,Tendon Force using relative (PCSA x MA),Force/PCSA,,,3,YNG,Normal,BRA,Brachialis,Fast,monoarticular,non-antigravity,elbow flexor,,Upper arm,25
2677,29,171,63,4,BRD,YNG ,M,V,39,12,3.2,11.41,226.4,71.9,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,PCSA,Muscle vol/Fiber length,max MVC,MRI at MVC JA,Tendon Force using relative (PCSA x MA),Force/PCSA,,,3,YNG,Normal,BRD,Brachioradialis,60/40,monoarticular,non-antigravity,elbow flexor,,Upper arm,15
2677,29,171,63,4,EF,YNG ,M,V,,,25,59.9,1819.5,72.7,"MRI, CSA x slice interval",MRI muscle length x literature ratio,,ACSA,Muscle vol/Fiber length,max MVC,MRI at MVC JA,Tendon Force ,Force/PCSA,"As for elbow flexors, averaged values of the moment arms of
agonists were calculated (weighed by the relative PCSA to total)
and considered the representative moment arm for all the flexors.",,3,YNG,Normal,EF,Elbow Flexors,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,22
2677,29,171,63,4,EE,YNG ,M,V,388,8,46.8,67.7,3008.6,65.4,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),max MVC,MRI at MVC JA,Tendon Force ,Force/rPCSA,,,5,YNG,Normal,EE,Elbow Extendors,Fast,mixed,non-antigravity,elbow extensor,,Upper arm,22
2664,20,178,74,42,QF,YNG UT,M,V,2084,8.9,238,248,5809,25.9,"MRI, ACSA & literature regression relationship",US at MVC rep muscle,measured PA representative muscle,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force ,Force/rPCSA,VL lf and pennation assumed for QF (Erskine method2), Method 2 ,1,YNG,Untrained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,22
2664,20,178,178,42,QF,YNG T,M,V,2200,8.9,253,315,7152,30.3,"MRI, ACSA & literature regression relationship",US at MVC rep muscle,measured PA representative muscle,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force ,Force/rPCSA,, Method 2 ,1,YNG,Trained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,22
2664,20,178,178,17,QF,YNG UT,M,V,2116,9.1,235,244,5896,26.5,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force ,Force/rPCSA,,Method 1- more detailed. individual muscle volume measured from multiple MRI scans and individual fiber length,2,YNG,Untrained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,22
2664,20,178,74,17,QF,YNG T,M,V,2237,9,252,315,7316,30.8,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force ,Force/rPCSA,, Method 1 ,2,YNG,Trained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,22
2653,20,178,77,53,QF,YNG UT,M,V,2080,8.9,237,246,5722,25.6,"MRI, ACSA & literature regression relationship",US at MVC rep muscle,measured PA representative muscle,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,lf and pennation angle of VL used for entire QF,,2,YNG,Untrained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,26
2653,20,178,77,53,QF,YNG T,M,V,2201,8.9,251,310,6968,29.8,"MRI, ACSA & literature regression relationship",US at MVC rep muscle,measured PA representative muscle,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC + ITT, Activation & Coactivation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,,,2,YNG,Trained,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,26
2651,28,175,75,6,SOL,YNG ,M,S,497,3,161.7,107,2427,15,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC from stimulation, Coactivation correction",MRI at MVC JA,Tendon Force ,Force/rPCSA,,Method A  tendon force=1783 ± 18,1,YNG,Normal,Sol,Soleus,Slow,monoarticular,antigravity,ankle plantar flexor,,Lower leg,7
2651,28,175,75,6,SOL,YNG ,M,V,,1.9,264,121.5,2745,10.4,"MRI, CSA x slice interval",Literature value,Literature value,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC, Gravity correction",MRI at rest,Tendon Force ,Force/rPCSA,,Method B  tendon force=2470 ± 176,7,YNG,Normal,Sol,Soleus,Slow,monoarticular,antigravity,ankle plantar flexor,,Lower leg,7
2651,28,175,75,6,TA,YNG ,M,S,152.7,4.8,31.5,22.5,487,15.5,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(θ),"max MVC from stimulation, Coactivation correction",MRI at MVC JA,Tendon Force ,Force/rPCSA,,Method A  tendon force=458 ± 36,1,YNG,Normal,TA,Tibialis Anterior,Slow,monoarticular,non-antigravity,ankle dorsiflexor,,Lower leg,24
