,pmid,articletitle,journaltitle,abstract,pubYear,volume,issue,pages,doi,covidenceID,studyID,keywords
43,29301317.0,Correction of Malocclusion by Botulinum Neurotoxin Injection into Masticatory Muscles.,Toxins (Basel),"Botulinum toxin (BTX) is a neurotoxin, and its injection in masticatory muscles induces muscle weakness and paralysis. This paralytic effect of BTX induces growth retardation of the maxillofacial bones, changes in dental eruption and occlusion state, and facial asymmetry. Using masticatory muscle paralysis and its effect via BTX, BTX can be used for the correction of malocclusion after orthognathic surgery and mandible fracture. The paralysis of specific masticatory muscles by BTX injection reduces the tensional force to the mandible and prevents relapse and changes in dental occlusion. BTX injection in the anterior belly of digastric and mylohyoid muscle prevents the open-bite and deep bite of dental occlusion and contributes to mandible stability after orthognathic surgery. The effect of BTX injection in masticatory muscles for maxillofacial bone growth and dental occlusion is reviewed in this article. The clinical application of BTX is also discussed for the correction of dental malocclusion and suppression of post-operative relapse after mandibular surgery.",2018,10,1,,10.3390/toxins10010027,#2694,Seok 2018,botulinum neurotoxin
44,16637869.0,Adaptability of elderly human muscles and tendons to increased loading.,J Anat,"Senile sarcopenia, the loss of muscle mass associated with aging, is one of the main causes of muscle weakness and reduced locomotor ability in old age. Although this condition is mainly driven by neuropathic processes, nutritional, hormonal and immunological factors, as well as a reduction in physical activity, contribute to this phenomenon. Sarcopenia alone, however, does not fully account for the observed muscle weakness, as the loss of force is greater than that accounted for by the decrease in muscle size. As a consequence, a reduction in the force per unit area, both at single fibre and at whole muscle level, is observed. We recently suggested that at whole muscle level, this reduction in intrinsic force is the result of the combined effect of changes in (1) muscle architecture, (2) tendon mechanical properties, (3) neural drive (reduced agonist and increased antagonist muscle activity) and (4) single fibre-specific tension. Whereas several studies support the role of the last two factors in the loss of intrinsic muscle force with aging, alterations in muscle architecture and in tendon mechanical properties have also been shown to contribute to the above phenomenon. Indeed, sarcopenia of the human plantarflexors, represented by a 25% reduction in muscle volume, was found to be associated with a 10% reduction in fibre fascicle length and 13% reduction in pennation angle. These architectural alterations were accompanied by a 10% decrease in tendon stiffness, attributable to alterations in tendon material properties, as suggested by a 14% decrease in Young's modulus. Most of these changes may be reversed by 14 weeks of resistive training; both fibre fascicle length and tendon stiffness were found to be increased by 10 and 64%, respectively. Surprisingly, however, training had no effect on the estimated relative length-tension properties of the muscle, indicating that the effects of greater tendon stiffness and increased fascicle length cancelled out each other. It seems that natural strategies may be in place to ensure that the relative operating range of muscle remains unaltered by changes in physical activity, in old age.",2006,208,4,433-43,10.1111/j.1469-7580.2006.00548.x,#2695,Narici 2006,
45,12215855.0,Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence.,World J Urol,"Results from basic research implicate a role for bioactive peptides in controlling the mammalian lower urinary tract. Although various peptides are assumed to be involved in the potentiaton or inhibition of cholinergic or purinergic activity in the urinary bladder, there is still much controversy regarding the mode of action and functional significance of such peptides in detrusor smooth muscle. Thus, we evaluated the functional effects of atrial natriuretic peptide (ANP), calcitonin gene related peptide (CGRP), endothelin 1 (ET-1), substance P (SP) and vasoactive intestinal polypeptide (VIP) on isolated strip preparations of human detrusor smooth muscle and determined the presence of those peptides in the human detrusor by means of immunohistochemistry. The effects of peptides on isometric tension of isolated detrusor strip preparations and on tissue levels of cyclic nucleotides cAMP and cGMP were compared to those of adenylyl cyclase activator forskolin (F), nitric oxide donor Na(+)-nitroprusside (SNP) and non-specific phosphodiesterase (PDE) inhibitor papaverine (P). The effects of the compounds on isometric tension of isolated human detrusor smooth muscle were examined using the organ bath technique. To determine time- and dose-dependent effects on cyclic nucleotide levels, bladder strips were exposed to increasing doses of F, SNP, P, ANP, CGRP and VIP, then rapidly frozen in liquid nitrogen and homogenised in the frozen state. cAMP and cGMP were extracted and assayed using specific radioimmunoassays. The presence of peptides was investigated by light microscopy using the Avidin-Biotin-Complex (ABC) method. F, P and VIP most effectively reversed the carbachol-induced tension of isolated human detrusor strips. Relaxing effects of ANP, CGRP and SNP were negligible. In contrast, ET-1 and SP elicited dose-dependent contractions of the tissue. The relaxing effects of F, P and VIP were accompanied by an increase in cAMP and cGMP levels, respectively. Light microscopy revealed positive immunostaining for CGRP, ET 1, VIP and SP in sections of the detrusor muscle coat. Our results suggest a possible importance of ET 1, SP and VIP in regulating detrusor smooth muscle contraction and relaxation. Even if a peptide is not synthesised, stored or released in a smooth muscle tissue and is, therefore, unable to reach its target cells under physiologic conditions, a functional effect on the tissue might be mediated by peptide-binding to specific cell surface receptors.",2002,20,4,244-9,10.1007/s00345-002-0287-y,#2696,Uckert 2002,
46,30521425.0,Titin as a force-generating muscle protein under regulatory control.,J Appl Physiol (1985),"Titin has long been recognized as a mechanical protein in muscle cells that has a main function as a molecular spring in the contractile units, the sarcomeres. Recent work suggests that the titin spring contributes to muscle contraction in a more active manner than previously thought. In this review, we highlight this property, specifically the ability of the immunoglobulin-like (Ig) domains of titin to undergo unfolding-refolding transitions when isolated titin molecules or skeletal myofibrils are held at physiological force levels. Folding of titin Ig domains under force is a hitherto unappreciated, putative source of work production in muscle cells, which could work in synergy with the actomyosin system to maximize the energy delivered by a stretched, actively contracting muscle. This review also focuses on the mechanisms shown to modulate titin-based viscoelastic forces in skeletal muscle cells, including chaperone binding, titin oxidation, phosphorylation, Ca(2+) binding, and interaction with actin filaments. Along the way, we discuss which of these modulatory mechanisms might contribute to the phenomenon of residual force enhancement relevant for eccentric muscle contractions. Finally, a brief perspective is added on the potential for the alterations in titin-based force to dynamically alter mechano-chemical signaling pathways in the muscle cell. We conclude that titin from skeletal muscle is a determinant of both passive and active tension and a bona fide mechanosensor, whose stiffness is tuned by various independent mechanisms.",2019,126,5,1474-1482,10.1152/japplphysiol.00865.2018,#2697,Freundt 2019,active tension
47,2136977.0,Fiber-type specific caffeine sensitivities in normal human skinned muscle fibers.,Anesthesiology,"Caffeine sensitivity was studied in chemically skinned muscle fibers from vastus lateralis muscle obtained by biopsy during reconstructive knee surgery from 15 otherwise healthy young individuals. Muscle fiber type was determined by contracture occurring in strontium (slow-oxidative, type I fiber) or calcium (both type I and type II, fast glycolytic fiber) solutions and in several fibers after contracture testing by ATPase enzyme histochemistry. Caffeine sensitivity (mean +/- SD), defined as the threshold concentration inducing more than 10% of the maximal tension obtained with a calcium 3 x 10(-5) mM solution was 2.7 +/- 1.3 mM in 37 type I fibers, whereas it was 6.9 +/- 2.4 mM in 61 type II fibers. A paired t test showed a significantly increased sensitivity to caffeine in type I fibers (P less than 0.001) in 13 individuals in whom the two fiber types were identified. The mean (+/- SD) difference between type I and type II fibers was 4.1 +/- 1.9 mM. Type I fibers contracted with greater tension in response to the increasing concentration of caffeine than did type II fibers (P less than 0.05). These skinned fiber studies showed significantly different caffeine sensitivities between human type I and type II muscle fibers, as previously shown in animal muscles. The findings that human type I muscle fibers have higher caffeine sensitivity than type II muscle fibers should be helpful for the interpretation of the in vitro contracture test done in muscle strips containing type I and type II fibers in varying proportions.",1990,72,1,50-4,10.1097/00000542-199001000-00010,#2698,Mitsumoto 1990,
48,17174933.0,Human jaw and muscle modelling.,Arch Oral Biol,"Dynamic mathematical modelling is an invaluable method to help understand the biomechanics of the anatomically and functionally complex masticatory system. It provides insight into variables which are impossible to measure directly such as joint loads and individual muscle tensions, and into physical relationships between jaw structure and function. Individual parameters can be modified easily to understand their influence on function. Our models are constructed with best available structural and functional data, and evaluated against human jaw behaviour. Image data provide hard and soft tissue morphology and the jaw's inertial properties. The drive to the system is provided by actuators which simulate active and passive jaw muscle properties. In whole-jaw modelling, muscle models which behave plausibly rather than mimic the ultra-structural cross-bridge interactions are common since they are computationally feasible. Whole-jaw models have recently incorporated flexible finite-elements to explore tissue distortion in the temporomandibular joint and tongue movements. Furthermore, the jaw has been integrated with laryngeal models to explore complex tasks such as swallowing. These dynamic models have helped better understand joint loading, movement constraints and muscle activation strategies. Future directions will include further incorporation of rigid and flexible model dynamics and the creation of subject-specific models to better understand the functional implications of pathology.",2007,52,4,300-4,10.1016/j.archoralbio.2006.11.004,#2700,Peck 2007,
49,22436600.0,[The use of fibrolaryngoscopy in muscle tension dysphonia in telemarketers].,Acta Otorrinolaringol Esp,"INTRODUCTION: Muscle tension dysphonia (MTD) is a voice disorder in the absence of current organic laryngeal pathology, without obvious psychogenic or neurological aetiology. The laryngeal features of MTD include a posterior glottal gap and supraglottic hyperfunctional activities; however, it remains unclear if these features are specific to MTD. This report aims to compare the laryngeal features in telemarketer patients with MTD versus non-dysphonic control subjects. METHODS: We reported on an observational, analytic and transversal study. Fiberoptic nasal endoscopy was performed on 57 patients (28 telemarketers with MTD and 29 control subjects). These random-sequence videotapes were independently rated by an expert laryngologist according to the modified Morrison and Rammage classification. In addition, a questionnaire about vocal symptoms and other details was completed. RESULTS: The posterior glottal gap was the most common feature in telemarketers with MTD, while incomplete glottal gap was observed more frequently in non-dysphonic patients. More than 70% of the videotapes were rated as pathologic. There was no statistical difference in the prevalence of normal features or bowing glottal gap between patients and control subjects. Anterior-posterior supraglottic contraction was more frequent in the control group. The major symptoms found were: voice gets tired quickly, increased vocal effort and neck tension. CONCLUSIONS: The heterogeneity in the laryngeal features in telemarketers with MTD seen under fibroscopy and their presence among the non-dysphonic population suggest that they cannot determine by themselves the diagnosis of MTD.",2012,63,3,200-5,10.1016/j.otorri.2011.12.003,#2701,Paoletti 2012,
50,24495393.0,Aging related changes in determinants of muscle force generating capacity: a comparison of muscle aging in men and male rodents.,Ageing Res Rev,"Human aging is associated with a progressive decline in skeletal muscle mass and force generating capacity, however the exact mechanisms underlying these changes are not fully understood. Rodents models have often been used to enhance our understanding of mechanisms of age-related changes in human skeletal muscle. However, to what extent age-related alterations in determinants of muscle force generating capacity observed in rodents resemble those in humans has not been considered thoroughly. This review compares the effect of aging on muscle force generating determinants (muscle mass, fiber size, fiber number, fiber type distribution and muscle specific tension), in men and male rodents at similar relative age. It appears that muscle aging in male F344*BN rat resembles that in men most; 32-35-month-old rats exhibit similar signs of muscle weakness to those of 70-80-yr-old men, and the decline in 36-38-month-old rats is similar to that in men aged over 80 yrs. For male C57BL/6 mice, age-related decline in muscle force generating capacity seems to occur only at higher relative age than in men. We conclude that the effects on determinants of muscle force differ between species as well as within species, but qualitatively show the same pattern as that observed in men.",2014,14,,43-55,10.1016/j.arr.2014.01.005,#2703,Ballak 2014,Fiber number
51,7607195.0,Hypertrophic response of human skeletal muscle to strength training in hypoxia and normoxia.,Eur J Appl Physiol Occup Physiol,"The purpose of this study was to test the hypothesis that work-induced skeletal muscle hypertrophy may be reduced by training in chronic hypobaric hypoxia compared to normoxia. Five healthy males [mean age 34.4 (SEM 2.2) years] performed strength training of the elbow flexors for 1 month, at altitude (A) (5050 m) and with the same absolute loads at sea level (SL), 8 months later. The EF cross-sectional area (CSA), determined at mid-arm by nuclear magnetic resonance imaging, increased by 11.3 (SEM 3.7)% (P < 0.05) at A and 17.7 (SEM 4.5)% (P < 0.05) at SL. Isometric maximal voluntary contraction (MVC) increased by 9.5 (SEM 2.6)% (P < 0.05) at A and 13.6 (SEM 2.4)% (P < 0.05) at SL. The CSA and MVC changes in A were significantly smaller than at SL (P < 0.05). Muscle specific tension did not change in either condition. No changes in muscle plus bone or MVC of the untrained, controlateral arm were observed. Thus, although there was no indication of muscle wasting at A, the hypertrophic response of skeletal muscle when trained in chronic hypoxia seemed to be significantly lower than that produced in normoxia. This effect could have arisen either from a direct depression of protein synthesis and/or hormonal changes provoked by hypoxia.",1995,70,3,213-9,10.1007/BF00238566,#2704,Narici 1995,
52,16931550.0,Fibre type-specific increase in passive muscle tension in spinal cord-injured subjects with spasticity.,J Physiol,"Patients with spasticity typically present with an increased muscle tone that is at least partly caused by an exaggerated stretch reflex. However, intrinsic changes in the skeletal muscles, such as altered mechanical properties of the extracellular matrix or the cytoskeleton, have been reported in response to spasticity and could contribute to hypertonia, although the underlying mechanisms are poorly understood. Here we examined the vastus lateralis muscles from spinal cord-injured patients with spasticity (n = 7) for their passive mechanical properties at three different levels of structural organization, in comparison to healthy controls (n = 7). We also assessed spasticity-related alterations in muscle protein expression and muscle ultrastructure. At the whole-muscle level in vivo, we observed increased passive tension (PT) in some spasticity patients particularly at long muscle lengths, unrelated to stretch reflex activation. At the single-fibre level, elevated PT was found in cells expressing fast myosin heavy chain (MyHC) isoforms, especially MyHC-IIx, but not in those expressing slow MyHC. Type IIx fibres were present in higher than normal proportions in spastic muscles, whereas type I fibres were proportionately reduced. At the level of the isolated myofibril, however, there were no differences in PT between patients and controls. The molecular size of the giant protein titin, a main contributor to PT, was unchanged in spasticity, as was the titin : MyHC ratio and the relative desmin content. Electron microscopy revealed extensive ultrastructural changes in spastic muscles, especially expanded connective tissue, but also decreased mitochondrial volume fraction and appearance of intracellular amorphous material. Results strongly suggest that the global passive muscle stiffening in spasticity patients is caused to some degree by elevated PT of the skeletal muscles themselves. We conclude that this increased PT component arises not only from extracellular matrix remodelling, but also from structural and functional adaptations inside the muscle cells, which alter their passive mechanical properties in response to spasticity in a fibre type-dependent manner.",2006,577,Pt 1,339-52,10.1113/jphysiol.2006.116749,#2705,Olsson 2006,
53,30390264.0,Muscle Atrophy Measurement as Assessment Method for Low Back Pain Patients.,Adv Exp Med Biol,"Low back pain is one of the most common pain disorders defined as pain, muscle tension, or stiffness localized below the costal margin and above the inferior gluteal folds, sometimes with accompanying leg pain. The meaning of the symptomatic atrophy of paraspinal muscles and some pelvic muscles has been proved. Nowadays, a need for new diagnostic tools for specific examination of low back pain patients is posited, and it has been proposed that magnetic resonance imaging assessment toward muscle atrophy may provide some additional information enabling the subclassification of that group of patients.",2018,1088,,437-461,10.1007/978-981-13-1435-3_20,#2706,Skorupska 2018,Gluteus muscles
54,8267041.0,Role of extracellular calcium and calcium channels in the response of human placental venous smooth muscle to endothelin-1.,Am J Obstet Gynecol,"OBJECTIVE: Our purpose was to evaluate the role of calcium and calcium channels in endothelin-1-induced contraction of the smooth muscle of human placental veins. STUDY DESIGN: Placentas were collected after vaginal delivery at term. After their removal from the chorionic plate, placental veins were divided into rings that were suspended in organ chambers and stretched to optimal tension. In the first part of the study, vessels from six women were initially suspended in calcium-poor modified Krebs-Ringer solution. They were then treated with either EGTA [ethylene glycol-bis(beta-aminoethyl ether)N,N,N',N'-tetraacetic acid; calcium chelator, 0.5 mmol/L] or calcium chloride 2.5 mmol/L (control). Endothelin-1 was then added cumulatively (10(-10) to 10(-7) mol/L), and the resulting changes in isometric tensions were recorded. In the second part of the study vessels from six other women were treated with either (1) normal modified Krebs-Ringers solution (control), (2) calcium-poor modified Krebs-Ringers solution, or (3) nicardipine (dihydropyridine calcium channel inhibitor, 10(-7) mol/L) in separate organ chambers. Endothelin-1 was then added cumulatively. RESULTS: Endothelin-1 produced concentration-dependent contractions in placental veins, with maximal tension reached at 10(-7) mol/L. Substitution of calcium-poor for standard Krebs-Ringers solution in the organ chamber abolished contractions to low endothelin-1 concentrations (< or = 10(-9) mol/L, p < 0.001) but did not affect the contractile response to higher concentrations. EGTA abolished contractions to all concentrations tested (p < 0.02). Nicardipine significantly, but incompletely, inhibited the contractile responses to all endothelin-1 concentrations tested (p < 0.05). CONCLUSIONS: Endothelin-1 induces contraction of the smooth muscle of human placental veins, which requires the influx of extracellular calcium. Dihydropyridine-sensitive calcium channels represent a major route of entry, but other pathways participate. The fetal effects of nifedipine and other calcium-channel blockers deserve specific evaluation in intrauterine growth retardation and other pregnancies complicated by elevated fetal levels of endothelin-1.",1993,169,6,1427-30,10.1016/0002-9378(93)90413-d,#2707,Le 1993,
55,31851953.0,Variability of concentric angle-specific isokinetic torque and impulse assessments of the knee extensors.,Physiol Meas,"OBJECTIVE: Length-tension relationships are widely reported in research, rehabilitation and performance settings; however, several isometric contractions at numerous angles are needed to understand these muscular outputs. Perhaps a more efficient way to determine torque-angle characteristics is via isokinetic dynamometry; however, little is known about the variability of isokinetic measurements besides peak torque and optimal angle. This paper examines the variability of angle-specific isokinetic torque and impulse measures. APPROACH: Three sessions of concentric (60°·s(-1)) knee extensions were performed by both limbs of 32 participants. Assessments were repeated on three occasions, separated by 5-8 d. To quantify variability, the standardized typical error of measurement (TEM) was doubled and thresholds of 0.2-0.6 (small), 0.6-1.2 (moderate), 1.2-2.0 (large), 2.0-4.0 (very large) and  >4.0 (extremely large) were applied. Additionally, variability was deemed large when the intraclass correlation coefficient (ICC) was  <0.67 and coefficient of variation (CV)  >  10%; moderate when ICC  >  0.67 or CV  <  10% (but not both); and small when both ICC  >  0.67 and CV  <  10%. MAIN RESULTS: Isokinetic torque and angular impulse show small to medium variability (ICC  =  0.75-0.96, CV  =  6.4%-15.3%, TEM  =  0.25-0.53) across all but the longest (100°) and shortest (10°) muscle lengths evaluated. However, moderate to large variability was found for the optimal angle (ICC  =  0.58-0.64, CV  =  7.3%-8%, TEM  =  0.76-0.86), and torque and impulse at the beginning and end of the range of motion (ICC  =  0.57-0.85, CV  =  11-42.9%, TEM  =  0.40-0.89). Intersession variability of isokinetic torque and impulse were small to moderate at medium (90-20°) joint angles. SIGNIFICANCE: Researchers and practitioners can examine the muscle torque-angle relationship and activity-specific torque outputs within these ranges, without resorting to more strenuous and time-consuming isometric evaluations.",2020,41,1,01NT02,10.1088/1361-6579/ab635e,#2708,Oranchuk 2020,
56,21713376.0,"Skeletal muscle contractile function and neuromuscular performance in Zmpste24 -/- mice, a murine model of human progeria.",Age (Dordr),"Human progeroid syndromes and premature aging mouse models present as segmental, accelerated aging because some tissues and not others are affected. Skeletal muscle is detrimentally changed by normal aging but whether it is an affected tissue in progeria has not been resolved. We hypothesized that mice which mimic Hutchinson-Gilford progeria syndrome would exhibit age-related alterations of skeletal muscle. Zmpste24 (-/-) and Zmpste24 (+/+) littermates were assessed for skeletal muscle functions, histo-morphological characteristics, and ankle joint mechanics. Twenty-four-hour active time, ambulation, grip strength, and whole body tension were evaluated as markers of neuromuscular performance, each of which was at least 33% lower in Zmpste24 (-/-) mice compared with littermates (p < 0.06). Contractile capacity of the posterior leg muscles were not affected in Zmpste24 (-/-) mice, but muscles of the anterior leg were 30-90% weaker than those of Zmpste24 (+/+) mice (p < 0.01). Leg muscles were 32-47% smaller in the Zmpste24 (-/-) mice and contained ~60% greater collagen relative to littermates (p < 0.01). Soleus and extensor digitorum longus muscles of Zmpste24 (-/-) mice had excessive myonuclei and altered fiber size distributions but, otherwise, appeared normal. Ankle range of motion was 70% lower and plantar- and dorsiflexion passive torques were nearly 3-fold greater in Zmpste24 (-/-) than Zmpste24 (+/+) mice (p ≤ 0.01). The combined factors of muscle atrophy, collagen accumulation, and perturbed joint mechanics likely contributed to poor neuromuscular performance and selective muscle weakness displayed by Zmpste24 (-/-)mice. In summary, these characteristics are similar to those of aged mice indicating accelerated aging of skeletal muscle in progeria.",2012,34,4,805-19,10.1007/s11357-011-9281-x,#2709,Greising 2012,
57,2186236.0,Assessment of respiratory muscle dysfunction in chronic obstructive lung disease.,Med Clin North Am,"In COLD, the inspiratory muscles are severely disadvantaged by virtue of the hyperinflation that accompanies this disorder. Such mechanical disadvantage will lead clinically, in the stable patient, to the active recruitment of the accessory muscles of inspiration and to a pattern of rapid, shallow breathing that may be due to either peripheral (muscle) or central (neurogenic) influences thought to be linked to a critical tension-time index of the inspiratory muscles. This pattern appears to be all the more pronounced in the patient with acute respiratory failure and is frequently accompanied by disordered rib cage-abdominal movements. While these movements may reflect the muscles' attempts to stave off fatigue, they may also imply that if the imposed mechanical stress is unrelieved, muscle failure will ensue. In the laboratory, mechanical disadvantage is marked by diminished inspiratory mouth pressures. Because of wide scatter, a low mouth pressure beyond that which can be explained by hyperinflation alone should be confirmed by an assessment of Pesosniff or by the measurement of transdiaphragmatic pressure. Muscle endurance, also compromised in this condition, can be assessed indirectly by the measurement of MVV or MSVC, or more directly by an invasive assessment of the tension-time index and endurance time of the diaphragm or noninvasively by the Endurance Index of McKenzie and Gandevia. And finally, once muscle failure is pending or has been established, a program of muscle rest, either complete or partial, pharmacotherapy, and goal-specific training should be instituted.",1990,74,3,643-60,10.1016/s0025-7125(16)30543-0,#2710,Goldberg 1990,
58,8317197.0,Functional morphology of force transmission in skeletal muscle. A brief review.,Acta Anat (Basel),"The work done by the contractile proteins of muscle in accelerating, decelerating, or maintaining the positions of skeletal elements requires the efficient transmission of tension across the surface membranes of the fibers. The most widely studied sites of tension transmission are the ends of muscle fibers where they contact either connective or epithelial tissues. In most animals, regardless of phylum, muscle fiber ends are characteristically folded, producing a junctional interface that significantly reduces the absolute value of stress applied to the cell membrane, insures that the principle stress vector at the cell membrane is shear rather than tension, and minimizes stress concentrations. The morphological and molecular similarities of muscle-tendon junctions (MTJs) in different animals suggest that the problem of creating a strong adhesive joint between a muscle fiber and a tissue of dissimilar physical properties is essentially the same for all muscles, and that the solution arose early in evolution. In addition to those muscle fiber ends that occur where fibers contact dissimilar tissues, there are intramuscular fiber terminations that consist either of folded cell-cell junctions similar to the fasciae adherentes of cardiac muscle, or of gradually tapering fiber ends. Both sorts of intramuscular ends occur in those vertebrate muscles in which the individual muscle fibers are too short to reach from the tendon of origin to the tendon of insertion. In series-fibered muscles in which the fiber ends are tapered, tension is transmitted from contractile proteins to endomysial collagen fibrils across the fiber membranes. The endomysium of such muscles is an essential series-elastic element. The existing evidence suggests that tension transmission is a general property of muscle cell surfaces, and that specific junctional morphologies are the results of dynamic interactions between muscle cells and the tissues to which they adhere.",1993,146,4,205-22,10.1159/000147459,#2711,Trotter 1993,
59,21115852.0,"Nebulin, a major player in muscle health and disease.",FASEB J,"Nebulin is a giant 600- to 900-kDa filamentous protein that is an integral component of the skeletal muscle thin filament. Its functions have remained largely nebulous because of its large size and the difficulty in extracting nebulin in a native state from muscle. Recent improvements in the field, especially the development of knockout mouse models deficient in nebulin (NEB-KO mice), indicate now that nebulin performs a surprisingly wide range of functions. In addition to a major role in thin-filament length specification, nebulin also functions in the regulation of muscle contraction, as indicated by the findings that muscle fibers deficient in nebulin have a higher tension cost, and develop less force due to reduced myofilament calcium sensitivity and altered crossbridge cycling kinetics. In addition, the function of nebulin extends to a role in calcium homeostasis. These novel functions indicate that nebulin might have evolved in vertebrate skeletal muscles to develop high levels of muscle force efficiently. Finally, the NEB-KO mouse models also highlight the role of nebulin in the assembly and alignment of the Z disks. Notably, rapid progress in understanding the roles of nebulin in vivo provides clinically important insights into how nebulin deficiency in patients with nemaline myopathy contributes to debilitating muscle weakness.",2011,25,3,822-9,10.1096/fj.10-157412,#2713,Labeit 2011,
60,27665350.0,Characterization of three dimensional volumetric strain distribution during passive tension of the human tibialis anterior using Cine Phase Contrast MRI.,J Biomech,"Intramuscular pressure correlates strongly with muscle tension and is a promising tool for quantifying individual muscle force. However, clinical application is impeded by measurement variability that is not fully understood. Previous studies point to regional differences in IMP, specifically increasing pressure with muscle depth. Based on conservation of mass, intramuscular pressure and volumetric strain distributions may be inversely related. Therefore, we hypothesized volumetric strain would decrease with muscle depth. To test this we quantified 3D volumetric strain in the tibialis anterior of 12 healthy subjects using Cine Phase Contrast Magnetic Resonance Imaging. Cine Phase Contrast data were collected while a custom apparatus rotated the subjects' ankle continuously between neutral and plantarflexion. A T2-weighted image stack was used to define the resting tibials anterior position. Custom and commercial post-processing software were used to quantify the volumetric strain distribution. To characterize regional strain changes, the muscle was divided into superior-inferior sections and either medial-lateral or anterior-posterior slices. Mean volumetric strain was compared across the sections and slices. As hypothesized, volumetric strain demonstrated regional differences with a decreasing trend from the anterior (superficial) to the posterior (deep) muscle regions. Statistical tests showed significant main effects and interactions of superior-inferior and anterior-posterior position as well as superior-inferior and medial-lateral position on regional strain. These data support our hypothesis and imply a potential relationship between regional volumetric strain and intramuscular pressure. This finding may advance our understanding of intramuscular pressure variability sources and lead to more reliable measurement solutions in the future.",2016,49,14,3430-3436,10.1016/j.jbiomech.2016.09.002,#2714,Jensen 2016,Cine Phase Contrast
61,12535317.0,Satellite cells and training in the elderly.,Scand J Med Sci Sports,"In the present review, we describe the effects of ageing on human muscle fibres, underlining that each human muscle is unique, meaning that the phenotype becomes specifically changed upon ageing in different muscles, and that the satellite cells are key cells in the regeneration and growth of muscle fibres. Satellite cells are closely associated with muscle fibres, located outside the muscle fibre sarcolemma but beneath the basement lamina. They are quiescent cells, which become activated by stimulation, like muscle fibre injury or increased muscle tension, start replicating and are responsible for the repair of injured muscle fibres and the growth of muscle fibres. The degree of replication is governed by the telomeric clock, which is affected upon excessive bouts of degeneration and regeneration as in muscular dystrophies. The telomeric clock, as in dystrophies, does not seem to be a limiting factor in ageing of human muscle. The number of satellite cells, although reduced in number in aged human muscles, has enough number of cell divisions left to ensure repair throughout the human life span. We propose that an active life, with sufficient general muscular activity, should be recommended to reduce the impairment of skeletal muscle function upon ageing.",2003,13,1,48-55,10.1034/j.1600-0838.2003.20285.x,#2715,Thornell 2003,
62,10468663.0,The impact of biochemical methods for single muscle fibre analysis.,Acta Physiol Scand,"Biochemical methods for single muscle fibre analysis provide sensitive measures for elucidating muscle fibre heterogeneity. The understanding of the complexity of skeletal muscle fibres, initially based on qualitative histochemistry and immunohistochemistry, has been greatly expanded by quantitative micromethods, such as microphotometry and microbiochemical assays. Assessment of metabolic enzyme activity levels has revealed pronounced scattering within and between different fibre types and has highlighted the use of specific enzyme activity ratios as discriminative measures. With the exception of type I fibres, metabolic properties are loosely coupled with molecular properties of the myofibrillar apparatus. As such, myosin heavy chain (MHC) isoforms appear to be the best choice for fibre type delineation. Among the two available methods for MHC-based fibre type distinction, single fibre electrophoresis appears to be superior to immunohistochemistry. The electrophoretic separation of MHC isoforms in single fibres is quantitative and, as opposed to immunohistochemistry, yields important information on MHC isoform proportions in hybrid fibres. Histochemical staining for myofibrillar ATPase activity can, thus, be correlated in most cases with specific MHC isoform profiles. Single fibre studies have demonstrated a relationship between ATP phosphorylation potential and MHC isoform complement. This relationship corresponds to different tension costs and provides an additional rationale for the MHC-based fibre type diversity and transitions. The combination of reverse transcriptase (RT) with polymerase chain reaction (PCR) has proved to be a highly sensitive tool and has extended single fibre analysis to the level of MHC mRNA isoforms. Application of RT-PCR techniques to single fibre fragments identified by their MHC protein isoform profile, provides insights at two levels of expression and, thus, has extended our knowledge on the plasticity of muscle and the dynamical state of muscle fibres.",1999,166,4,261-77,10.1046/j.1365-201x.1999.00568.x,#2716,Pette 1999,
63,6706740.0,Isometric or dynamic training: differential effects on mechanical properties of a human muscle.,J Appl Physiol Respir Environ Exerc Physiol,"This work compares the specific effects of 3 mo of moderate, isometric, or dynamic voluntary exercises on the contractile properties of human adductor pollicis muscle. Isometric training consisted of 10 daily contractions of 5-s duration at the frequency of one contraction per minute. Dynamic training consisted of 10 daily series of 10 fast contractions (less than 0.5-s duration) moving a load of one-third of the maximal muscle strength at a frequency of one series per minute. Both training programs produced a concomitant increase in maximal tetanic tension and in peak rate of tension development (Ro). A larger increase (P less than 0.05) was found after isometric training (20 vs. 11% after dynamic exercises), whereas Ro augmented more (P less than 0.05) after dynamic contractions (31 vs. 18% after isometric training). Enhancements of twitch force (Pt), rates of twitch tension development (Rt), and of relaxation (St) were, respectively, 20, 20, and 12% after isometric training. There was no modification of contraction time and time of half relaxation (T 1/2R). Conversely, dynamic training produced increases of Rt (25%) and St (16%), associated with an apparently paradoxical decrease of Pt (10%) and reductions of contraction time (11%) and T 1/2R (9%). Maximal shortening velocity was only increased after dynamic training (21%), whereas the maximal muscle power presented a large increase (P less than 0.05) after isometric exercises (51 vs. 19% after dynamic exercises) and a shift of its optimal peak toward heavier loads. This study suggests that human muscle adapts differently to isometric or to dynamic training programs and provides evidence that its contractile kinetics can be altered by exercises performed in physiological conditions.",1984,56,2,296-301,10.1152/jappl.1984.56.2.296,#2717,Duchateau 1984,
